"Name","id"
Charles Ratcliff,1673
Charles Reade,1678
Charles Richardson,1694
Charles Robert des Ruffieres,1710
Charles Rogers,1731
Charles Rooke,1740
Charles Rowland Goodman,800
Charles S Salmon,1773
Charles Scott,1806
Charles Sessions,2454
Charles Sharp Price,1629
Charles Sheffield Dickson,576
Charles Stenning,1946
Charles Stuart Bailey,86
Charles Sturge,2829
Charles Sturgeon,3343
Charles Sumner,3348
Charles Thomas Pearce,1566
Charles W Bollaert,208
Charles Warden,2130
Charles Wentworth Dilke,581
Charles William Carter Madden Medlicott,1342
Charles William Devis,569
Charles William Eeles,648
Charles William Hoyland,1001
Charles Wilson,2503
Charles jun Tuckett,2066
Chemical Society,23
Child Study Society,181
Childhood Society,180
Chile,75
China,8
Christian JÃ¼rgensen Thomsen,2028
Christopher Bowley,2587
Christopher J Barnard,106
Clarence Harcourt,876
Claude Buchanan Ker,1107
Clement Jackson,3130
Clements Robert Markham,1279
CoE,4
Colquehoun Club,22
Connop Thirlwall,2019
Conrad C Dumas,621
Conrad Eckhard,642
Conrad Finzel,3047
Conrad Leemans,1182
Conservative Club,35
Constantine Simonides,1855
Cork Scientific and Literary Society,185
Cornelieus Prior,3256
Cornelis Swaving,1979
Cornelius Donovan,591
Cornelius Hanbury,2685
Cornelius Walford,2110
Cornelius x Jun Hanbury,2686
"Corporation Library London, City of",1223
Coryndon H Luxmoore,1243
Craig Gibson,775
Crewe Alston,31
Culling Eardley Smith,3306
Cumberland and Westmorland Antiquarian and Archaeological Society,123
Cunningham Borthwick,223
Cyprus,45
Cyrus Clark,2622
D  Pye Smith,1874
D Bellock,158
D Bolton,2943
D Brown,2956
D Dodshon,3020
D G F Macdonald,1249
D G Goyder,808
D Holmes,3119
D I Drakeford,602
D J Breuneis,262
D Lubach,1233
D Miller,2419
D Mitchell,3205
D Nicol,1490
D P Hock,3115
D P Mack,3176
D Tuke,2853
D W Nash,1463
Dadabhai Naoroji,1458
Dallas Hill,947
Danby Palmer Fry,746
Daniel Bell Hanbury,2687
Daniel Brooke Robertson,1718
Daniel Cooper,464
Daniel Doncaster,2325
Daniel Earl Burdett,309
Daniel Mackintosh,1260
Daniel Maxwell,1312
Daniel O'Connell,3227
Daniel P Hack,2683
Daniel Wheeler,2499
Daniel Wilson,2204
Daniel de Castro,369
Dashwood G Parry,1552
David Blellock,198
David Brodie,272
David Charles,384
David Dale,523
David Duncan,624
David Forbes,720
David Gay,770
David Henry Stone,1957
David King,1113
David Kinloch,1123
David Lloyd,1213
David Mackintosh,1261
David Mitchell Henderson,925
David Morris,1416
David S Price,1630
David Salomons,1775
David Scott,1807
David Sydenham,1984
David Wilson,2205
Davyd William Nash,1464
Deborah Beesley,2578
Deborah Gibson,2667
Deborah Sterry,3330
Denison H Allport,2901
Denmark,58
Dominican Republic,74
Dominico Navoni,1469
Don Flores Estrada,3037
Donald Nicoll,1492
Douglas Galton,754
Draper Mackinder,1257
Dresden Geographical Society,224
Dunbar Isidore Heath,917
Duncan W Forbes,721
E & M Elliott,3031
E A Albright,2890
E Abdy,2882
E Atkinson,67
E B Tawney,2004
E Backhouse,2911
E Baines,2916
E Bonavia,211
E Crowley,3005
E F Sewell,2810
E Ford,3052
E Gilkes,2668
E Harris,3099
E J Routh,1749
E J Selwyn,1819
E L Birkbeck,2295
E Mills,3204
E Morris,3216
E Neave,2421
E O Tindale,2843
E P Southall,2820
E Ridley,3277
E S Schwabe,1804
E Sayce,2802
E Schiemann,1794
E Stephens,3327
E T Sewell,3299
E T Wakefield,2108
E Tinsley,2045
E V Gardner,761
E Walker,3378
ESL,3
Eardley Childers,2976
Early English Text Society,116
East India Club,59
East India United Services Club,45
East Yorkshire Anthropological Society,159
Ebenezer Clarke,2984
Ebenezer Elliott,3032
Ebenezer Smith,3307
Eclectic Medical Society of New York,199
Ecuador,81
Edgar Musgrove,3223
Edinburgh Gratis Sabbath School Society,93
Edinburgh Mathematical Society,236
Edmund Backhouse,2554
Edmund Buxton,2965
Edmund Farmer,682
Edmund Francis Davis,547
Edmund Gurney,2676
Edmund J Bridell,264
Edmund Jeffries,1060
Edmund Lloyd,1214
Edmund Lucas,2734
Edmund Patterson,1560
Edmund Sturge,2830
Edmund Walker,2114
Edmund Walter Coleman,445
Edouard J Villin,2097
Edouard Lartet,1159
Edward (1) Lawrence,1166
Edward A Crouch,2637
Edward A Leatham,2729
Edward Andrew Trevor,2060
Edward Arnold,52
Edward Ash,2552
Edward B Bogg,204
Edward B Harbour,875
Edward Backhouse,80
Edward Barrett Hodges Curteis,513
Edward Beck,2288
Edward Bellamy,155
Edward Bickerton Evans,671
Edward Brown,283
Edward C Anderson,35
Edward C May,2747
Edward Carroll,2611
Edward Charles Healey,916
Edward Charlesworth,385
Edward Everett,3040
Edward Gardiner Fishbourne,703
Edward Greey,825
Edward Gurney,3083
Edward Hooper May,1315
Edward Jackson Riccard,1691
Edward James,2718
Edward John Eyre,678
Edward John Morshead,1427
Edward Jun Backhouse,2555
Edward Lawford,1165
Edward Lord,1227
Edward Lucas,2412
Edward Lund,1241
Edward Marsh,2744
Edward Martin,1290
Edward Meryon,1350
Edward Morris,1417
Edward Murray,1450
Edward North Buxton,2607
Edward North Clifton,428
Edward O'Riley,1512
Edward Osborne Smith,1875
Edward Paull,2516
