"Name"
Society for Psychical Research
Society for the Diffusion of Useful Knowledge
"Society for the Encouragement of Arts, Manufactures and Commerce"
Society of Antiquaries
Society of Antiquaries of Literature
Society of Antiquaries of Scotland
"Society of Archaeology, Namur, Brussels"
Society of Arts
Society of Authors
Society of Biblical Archaeology
Society of Chemical Industry
Society of Emulation of Paris
Society of Engineers
Society of Friends
Society of Scottish Antiquarians
Soci̩t̩ M̩dico Psychologique
Somersetshire Archaeological and Natural History Society
South Africa
Spain
Spalding Club
Statistical Society
Straits Settlements
Sugar Club
Surrey Archaeological Society
Sussex Archaeological Society
Sweden
Swedenborg Society
Switzerland
Sydenham Society
Syria
Syro Egyptian Society
Tasmania
"Tennis Court Club, Leamington"
Thailand
Thatched House Club
The Philippines
Traveller's Club
Trinidad
Turkey
Union Club
United Service Club
United University Club
Upper Hesse Society for Natural and Medical Science
Venezuela
"Veterinary College, London"
"Victoria Institute, or Philosophical Institute of Great Britain"
"Victoria Institute, or Philosophical Society of Great Britain"
Wales
Wernerian Natural History Society
Weslyan Mission Society
West Indies
West Kent Cricket Club
Whittington Club
Woolhope Naturalists Field Club
Worcestershire Archaeological Society
"Worcestershire, Severn Valley, Warwickshire and Naturalists' Field Club"
Wyndham Club
X Club
Yemen
York Philosphical Society
Yorkshire Geological and Polytechnic Society
Yugoslavia
Zetetical Society
Zoological Society
academic
administrative
anatomist
anthropologist
antiquarian
archaeologist
architect
archivist
aristocracy
armed services
artist
astrologer
astronomer
banker
biologist
book seller
botanist
business
chartered accountant
chemist
church
civil engineer
civil service
clockmaker
collector
country
diplomacy
economist
editor
educator
egyptologist
engineer
entomologist
ethnographer
ethnologist
explorer
farmer
geographer
geologist
geomorphologist
goldsmith
herpetologist
historian
inventor
ironmaker
journalist
landowner
legal
lexicographer
librarian
linguist
literary
map maker
mathematician
medallist
medical
merchant
metallurgist
meteorologist
mineralogist
mining engineer
museum work
music
mycologist
naturalist
oceanographer
orientalist
ornithologist
palaeoethnologist
palaeontologist
paleoanthropologist
philanthropist
philologist
philosopher
photographer
phrenologist
plant collector
poet
police
political
prehistorian
printer
private means
psychiatrist
publisher
scientist
sociologist
statistion
translator
traveller
veterinary surgeon
zoologist
