"Name","birth_year","death_year","Target","first_year","last_year"
William Seebohm,NA,NA,APS,1839,1861
Charles Sessions,NA,NA,APS,1859,1866
Robert Simpson,NA,NA,APS,1860,1867
Alfred Smith,NA,NA,APS,1862,1862
Edward Smith,NA,NA,APS,1862,1865
Richard Smith,NA,NA,APS,1857,1867
Ann Snowden,NA,NA,APS,1865,1867
C Southall,NA,NA,APS,1861,1861
William Southall,NA,NA,APS,1862,1866
William Sparkes,NA,NA,APS,1861,1867
Joseph F Spence,NA,NA,APS,1854,1867
L Squire,NA,NA,APS,1839,1840
Mary Steevens,NA,NA,APS,1861,1861
Henry Sterry,NA,NA,APS,1851,1867
Richard Sterry,NA,NA,APS,1851,1865
John Stevens,NA,NA,APS,1839,1840
Joseph Sturge (Mrs),NA,NA,APS,1838,1866
Sarah Styles,NA,NA,APS,1866,1866
George N Tatham,NA,NA,APS,1851,1852
Mary Ann Tatham,NA,NA,APS,1851,1867
Edward Taylor,NA,NA,APS,1861,1865
F Taylor,NA,NA,APS,1861,1861
H Taylor,NA,NA,APS,1861,1861
A Thistlethwaite,NA,NA,APS,1860,1860
F J Thompson,NA,NA,APS,1860,1867
Josiah Thompson,NA,NA,APS,1861,1862
Thomas Thompson,NA,NA,APS,1862,1862
W Thompson,NA,NA,APS,1860,1862
x Thompson,NA,NA,APS,1857,1857
George Treffry,NA,NA,APS,1860,1867
Frederick Tuckett,NA,NA,APS,1851,1854
W Tuke,NA,NA,APS,1860,1860
Thomas Turner,NA,NA,APS,1862,1867
James E Veale,NA,NA,APS,1851,1867
Jonathan Walker,NA,NA,APS,1860,1867
Ann Wallis,NA,NA,APS,1851,1867
John Warner,NA,NA,APS,1839,1840
Alfred Waterhouse,NA,NA,APS,1861,1867
Mary Waterhouse,NA,NA,APS,1852,1852
R Waterhouse,NA,NA,APS,1861,1862
Thomas Wedmore,NA,NA,APS,1861,1864
James Wells,NA,NA,APS,1861,1861
Daniel Wheeler,NA,NA,APS,1839,1839
W Whiting,NA,NA,APS,1861,1861
John Jun Williams,NA,NA,APS,1838,1838
W R Williams,NA,NA,APS,1860,1860
Charles Wilson,NA,NA,APS,1867,1867
George Wilson,NA,NA,APS,1861,1867
Isaac Wilson,NA,NA,APS,1838,1840
Joseph Wilson,NA,NA,APS,1839,1839
Rebecca Wilson,NA,NA,APS,1839,1861
H Wise,NA,NA,APS,1839,1840
William Woods,NA,NA,APS,1865,1865
Louisa Wright,NA,NA,APS,1862,1867
Henry Knight,NA,NA,APS,1852,1858
John Thomas Barry,NA,NA,APS,1852,1853
Peter Bedford,NA,NA,APS,1860,1860
John Bell,NA,NA,APS,1838,1840
Thomas Christy,NA,NA,APS,1839,1840
Josiah Forster,NA,NA,APS,1838,1867
Robert Forster,NA,NA,APS,1860,1867
William Forster,NA,NA,APS,1838,1840
Robert Howard,NA,NA,APS,1838,1840
John Kitching,NA,NA,APS,1860,1866
Joseph Neatby,NA,NA,APS,1851,1852
John Sanderson,NA,NA,APS,1838,1840
Joseph Shewell,NA,NA,APS,1840,1867
John M Albright,NA,NA,APS,1860,1867
G W Alexander,NA,NA,APS,1851,1867
Henry Alexander,NA,NA,APS,1860,1866
R D Alexander,NA,NA,APS,1839,1860
Thomas Allis,NA,NA,APS,1856,1867
John D Appleton,NA,NA,APS,1864,1867
Caroline Armistead,NA,NA,APS,1861,1865
Joseph Armistead,NA,NA,APS,1861,1864
Edward Ash,NA,NA,APS,1839,1860
Alfred Backhouse,NA,NA,APS,1860,1867
Edmund Backhouse,NA,NA,APS,1861,1867
Edward Jun Backhouse,NA,NA,APS,1851,1855
James Jun Backhouse,NA,NA,APS,1863,1867
John Church Backhouse,NA,NA,APS,1852,1852
J E Baker,NA,NA,APS,1861,1867
James Baker,NA,NA,APS,1861,1867
A P Balkwill,NA,NA,APS,1862,1862
William Ball,NA,NA,APS,1840,1866
Eliza Barclay,NA,NA,APS,1851,1866
J Gurney Barclay,NA,NA,APS,1852,1852
Jonathan Barrett,NA,NA,APS,1860,1861
R Barrett,NA,NA,APS,1853,1860
R C Barrow,NA,NA,APS,1860,1864
S Barter,NA,NA,APS,1861,1862
John D Bassett,NA,NA,APS,1851,1867
John Baynes,NA,NA,APS,1838,1838
John Beaumont,NA,NA,APS,1839,1860
Rebecca Beaumont,NA,NA,APS,1860,1866
William Beaumont,NA,NA,APS,1860,1867
Samuel Beck,NA,NA,APS,1861,1866
Deborah Beesley,NA,NA,APS,1860,1867
Paul Bevan,NA,NA,APS,1860,1867
Robert Bevan,NA,NA,APS,1851,1854
Martha A Binyon,NA,NA,APS,1866,1867
Thomas Binyon,NA,NA,APS,1851,1860
S Birchall,NA,NA,APS,1861,1862
Thomas Blain,NA,NA,APS,1865,1867
J Blunsom,NA,NA,APS,1861,1865
W Bott,NA,NA,APS,1862,1862
Christopher Bowley,NA,NA,APS,1838,1862
W C Bowley,NA,NA,APS,1860,1862
Edwin Bracher,NA,NA,APS,1861,1866
James Bracher,NA,NA,APS,1861,1861
Lucy Bradshaw,NA,NA,APS,1860,1861
G S Brady,NA,NA,APS,1861,1861
Joseph B Braithwaite,NA,NA,APS,1866,1867
S Braithwaite,NA,NA,APS,1862,1862
Charles Brewin,NA,NA,APS,1840,1840
Robert Brewin,NA,NA,APS,1860,1867
Thomas Brewin,NA,NA,APS,1860,1867
William Brewin,NA,NA,APS,1860,1867
Francis Brown,NA,NA,APS,1861,1867
Gopsill Brown,NA,NA,APS,1860,1860
W W Brown,NA,NA,APS,1861,1866
J F Burgess,NA,NA,APS,1860,1861
Wilson Burgess,NA,NA,APS,1852,1852
Henry Burlingham,NA,NA,APS,1861,1867
Jonathan Burtt,NA,NA,APS,1847,1867
P Burtt,NA,NA,APS,1861,1861
Edward North Buxton,NA,NA,APS,1838,1855
James Cadbury,NA,NA,APS,1838,1867
John M Candler,NA,NA,APS,1839,1867
Edward Carroll,NA,NA,APS,1865,1865
Joseph Cash,NA,NA,APS,1863,1867
Newman Cash,NA,NA,APS,1838,1838
William Cash,NA,NA,APS,1839,1840
R D Catchpool,NA,NA,APS,1860,1867
Thomas Catchpool,NA,NA,APS,1838,1855
Thomas Chalk,NA,NA,APS,1839,1840
