"Name","birth_year","death_year","religion_1_quaker"
Johann Karl Eduard Buschmann,1805,1880,NA
George Busk,1807,1886,NA
William John Busteed,1836,1914,NA
Henry Butler,1838,NA,NA
James Butler,NA,NA,NA
Charles Buxton,1823,1871,1
Isaac Byerley,1814,1897,NA
George Byham,1826,NA,NA
John O'Connell Byrne,NA,NA,NA
Oliver Byrne,1810,1890,NA
Benjamin Bond Cabbell,1782,1874,NA
Henry Callaway,1817,1890,NA
Thomas Callaway,1822,1869,NA
John Calman,NA,NA,NA
Luigi Calori,1807,1896,NA
Frank Calvert,1828,1908,NA
George Calvert,NA,NA,NA
Charles Duncan Cameron,NA,1870,NA
Archibald Campbell,1805,1874,NA
Francis Campbell,1798,1877,NA
George (1) Campbell,1824,1892,NA
George (2) Campbell,NA,NA,NA
Henry Campbell,NA,NA,NA
James Campbell,NA,NA,NA
Montgomery Campbell,NA,NA,NA
Robert Campbell,1829,1884,NA
T A Campbell,NA,NA,NA
Walter Campbell,NA,NA,NA
Francis Campin,NA,NA,NA
William Camps,NA,1887,NA
Thomas Cannon,NA,NA,NA
Jean-Francois Caplin,1790,1872,NA
Charles Capper,1822,1869,NA
Charles Napoleon de Cardi,1844,1906,NA
William D Carey,1837,1917,NA
John Burford Carlill,1814,1874,NA
Frederick Stanley Carpenter,1817,1890,NA
Robert Carrington,NA,NA,NA
George Carter,NA,NA,NA
Samuel Cartwright,1789,1864,NA
Facundo Carulla,NA,NA,NA
Carl Gustav Carus,1789,1869,NA
John Cassell,1817,1865,NA
Fran̤ois Louis Nompar de Caumont La Force Castelnau,1810,1880,NA
Henry James Castle,NA,NA,NA
Daniel de Castro,NA,NA,NA
George Catlin,1796,1872,NA
John Cavafy,1838,1901,NA
Richard Cavendish,1794,1876,NA
"Antonio de La, jun Cerda",1834,1885,NA
Edwin Chadwick,1800,1890,NA
Hugo Mavesyn Chadwick,1793,1854,NA
John Henry Challis,1806,1880,NA
William Chamberlin,NA,NA,NA
Charles Harcourt Chambers,1826,1876,NA
Escott Chambers,NA,NA,NA
William Chambers,1809,1882,NA
James Champley,NA,1888,NA
Frank Chance,1825,1897,NA
David Charles,1812,1878,NA
Edward Charlesworth,1813,1893,NA
Henry Charlton,NA,1872,NA
William Charlton,1814,1880,NA
Frederick Chatfield,1801,1872,NA
Samuel Cheetham,1827,NA,NA
F W Chesson,NA,NA,NA
Hendrick Agnis Chignell,1833,1879,NA
William Dinsdale Child,NA,1879,NA
Robert Caesar Childers,1838,1876,NA
Robert Walker Childs,NA,NA,NA
Samuel Chinnery,1828,NA,NA
