"Name","birth_year","death_year"
William Cudworth,NA,NA
Lucy Darby,NA,NA
Richard Day,NA,NA
William Dent,NA,NA
Barnard Dickinson,NA,NA
Elizabeth G Dimsdale,NA,NA
J Doubleday,NA,NA
R Doubleday,NA,NA
Joseph Eaton,NA,NA
Thomas Emmott,NA,NA
Mary Exton,NA,NA
William Exton,NA,NA
Abraham Fisher,NA,NA
Rachel Fowler,NA,NA
Thomas Fowler,NA,NA
Alfred L Fox,NA,NA
Francis E Fox,NA,NA
Frederick H Fox,NA,NA
J G Fox,NA,NA
R Barclay Fox,NA,NA
Philip Frith,NA,NA
Frederick Fryer,NA,NA
John Gayner,NA,NA
Deborah Gibson,NA,NA
E Gilkes,NA,NA
Charles Gillett,NA,NA
Jonathan Gillett,NA,NA
Burwood Godlee,NA,NA
Alexander Grace,NA,NA
Anna Gurney,NA,NA
Edmund Gurney,NA,NA
Henry E Gurney,NA,NA
John Gurney,NA,NA
Samuel Gurney,NA,NA
Daniel P Hack,NA,NA
John Barton Hack,NA,NA
Cornelius Hanbury,NA,NA
Cornelius x Jun Hanbury,NA,NA
Daniel Bell Hanbury,NA,NA
Samuel Hare,NA,NA
Charles L Harford,NA,NA
John Harford,NA,NA
Summers Harford,NA,NA
William Hargreaves,NA,NA
John Harlock,NA,NA
Theodore Harris,NA,NA
Gray Hester,NA,NA
M A Hewitson,NA,NA
Henry Hipsley,NA,NA
John Hodgkin,NA,NA
J Holdsworth,NA,NA
Richard Holdsworth,NA,NA
G B Holmes,NA,NA
S Horman-Fisher,NA,NA
Robert Horne,NA,NA
John Horniman,NA,NA
Charles Horsnaill,NA,NA
W C Horsnaill,NA,NA
Sarah Hotham,NA,NA
Luke Howard,NA,NA
William Howitt,NA,NA
Rachel Hubbert,NA,NA
Joseph Hudson,NA,NA
John Huntley,NA,NA
Joseph Huntley,NA,NA
Martha Hutchinson,NA,NA
R Impey,NA,NA
Edward James,NA,NA
A Janson,NA,NA
William Janson,NA,NA
Andrew Johnston,NA,NA
Andrew & Jun Johnston,NA,NA
John Jowett,NA,NA
W D King,NA,NA
J H Knight,NA,NA
T Knott,NA,NA
Edward A Leatham,NA,NA
Isabella Lister,NA,NA
Wilson Lloyd,NA,NA
Haggar Lowe,NA,NA
Edmund Lucas,NA,NA
Frederick Lucas,NA,NA
Jeffrey Lucas,NA,NA
Martha Lucas,NA,NA
Samuel Lucas,NA,NA
William Jun Lucas,NA,NA
