"Source","Target"
John jun Cock,country
W  Spencer Cockings,London
James Coke,Scotland
John Colam,London
W P Colchester,country
Henry Cole,London
Richard Beverley Cole,America
Vicat Cole,country
Vicat Cole,London
Thomas Edward Colebrooke,London
Edmund Walter Coleman,country
John Sherrard Coleman,London
John Payne Collier,country
Thomas Collings,London
John Frederick Collingwood,London
S  Edwin Collingwood,country
W W Collins,London
John (1) Collinson,London
x Colonsay,Scotland
John Congreve,London
John Conolly,London
Moncure Daniel Conway,London
Samuel John Cooke,London
William Fothergill Cooke,London
William Fothergill Cooke,country
William Gifford Cookesley,London
Daniel Cooper,London
Frederick Cooper,London
Holmes Coote,London
George Ford Copeland,country
Thomas Copings,London
William C Copperthwaite,country
Tullie Cornthwaite,country
William Cory,London
Frederick William Cosens,London
Handel Cossham,country
F L Cotton,London
Samuel Courtauld,country
Samuel Courtauld,London
F G Courthope,London
J  Jermyn Cowell,London
Joseph jun Cowen,country
Henry Augustus Cowper,West Indies
Henry Augustus Cowper,London
Irwin Edward Bainbridge Cox,London
J W  Conrad Cox,London
W T Cox,country
James Coxe,Scotland
Arthur Edmund Crafter,country
Henry Valentine Crassweller,London
Thomas William Craster,country
Tom junr Craston,London
Tom junr Craston,Africa
Frederick A B Crawfurd,London
John Crawfurd,London
Oswald John Crawfurd,Portugal
W J Crichton,London
George Critchett,London
Thomas Francis Dillon Croker,London
J M Crolly,country
A G Cross,China
Henry Crowley,country
Jonathan Sparrow Crowley,London
George Rayner Croxford,country
Moore A Cuffe,country
Richard Cull,London
Henry Syer Cuming,London
Richard S Cunliffe,Scotland
Alexander Cunningham,London
Alexander Cunningham,India
Manockjee Cursetjee,India
Manockjee Cursetjee,London
Edward Barrett Hodges Curteis,country
John Cuthbert,London
John Richmond Cuthbert,country
George Cutler,country
William Barrington D'Almeida,country
Marie-Armand de Castera-Macaya D'Avezac,France
Jean Baptiste Julien D'Omalius d'Halloy,Belgium
S J Da Costa,London
x Daa,Norway
David Dale,country
G P Dall,country
Eugene Dally,France
G  Wythes Daniell,London
William Freeman Daniell,Africa
Robert Dukinfield Darbishire,country
Frederick Whittock Darby,London
Camille Dareste,France
George Russell Dartnell,country
Charles Darwin,country
Erasmus (Ras) Darwin,London
Arthur Dashwood,Wales
Samuel Davenport,Australia
John George Davey,country
John Davidson,Scotland
I Davie,London
F  Drummond Davies,London
Jesse Conway Davies,Wales
William Davies,country
Edmund Francis Davis,London
Frederick E Davis,London
George Henry Daw,country
William Boyd Dawkins,country
George Dawson,country
Walter F Dawson,London
Samuel Phillips Day,London
John junr De Horne,London
Octave Delepierre,Belgium
Walter Cooper Dendy,London
George Dennis,Libya
x Derby (formerly Stanley),London
M Des Barres,Canada
Jules Desnoyers,France
Charles William Devis,country
x Devonshire,London
George Dibley,London
John jun Dickinson,London
John Jun Dickinson,London
Henry Dickman,Ceylon
Charles Sheffield Dickson,country
Peter Dickson,London
x Diezmann,Nicaragua
Charles Wentworth Dilke,London
John Dingle,country
John Dingle,London
Henry Distin,London
Thomas J Dobson,country
Jacob Ludwig Dohne,South Africa
William Donald,London
John Donaldson,Scotland
Cornelius Donovan,London
Bernard Dorn,Russia
James Dowie,London
John Langdon H Down,country
Alexander Downing,Nicaragua
Arthur Edward Downing,India
Washington Downing,London
James T J Doyle,India
D I Drakeford,country
James F Draper,country
Gustavus Dressler,Germany
Robert A Drew,country
H Driver,country
John Drummond,country
Paul Belloni Du Chaillu,London
C A Du Val,country
Gustaf Von Duben,Sweden
x Dublin,Ireland
Frederick Duckworth,India
Henry Duckworth,country
William Duckworth,London
R E Dudgeon,London
Reginald R Dudley,country
J R Duggan,London
J R Duggan,Africa
W N Duggan,Scotland
Emile Duhousset,France
Conrad C Dumas,London
x Dumon,Belgium
Alexander Duncan,Ireland
David Duncan,India
David Duncan,Scotland
Francis Duncan,country
Peter Martin Duncan,London
Alfred John Dunkin,London
Alfred John Dunkin,country
Alexander Milne Dunlop,country
R H W Dunlop,Scotland
R H W Dunlop,London
R H W Dunlop,India
Robert Dunn,London
x Dunraven & Mountearl,London
Robert Dyce,Scotland
Robert Eadie,country
George Windsor Earl,Malaysia
William Eassie,London
William Eassie,country
Joseph William Eastwood,country
Alexander Ecker,Switzerland
Alexander Ecker,Germany
Conrad Eckhard,Germany
Casper W Eddy,London
Thomas Edmonston,Scotland
J  Passmore Edwards,London
John Edwards,London
William Edwards-Schneegans,London
x Egypt,Egypt
John Elder,country
x Eliot,London
John Ellerton,country
Walter Elliot,Scotland
C H  Fairfax Ellis,country
James Ellis,country
Jonathan W Elmes,Africa
John Elphinstone,country
Mountstuart Elphinstone,Scotland
Mountstuart Elphinstone,India
Joel Emanuel,London
Jacob Epstein,London
Victor Erlanger,Germany
William Erle,London
William Erle,country
Adolf Ernst,Venezuela
x Euclide,Cyprus
William Euing,Scotland
Edward Bickerton Evans,country
John Evans,country
Richard Tonson Evanson,country
William Ewart,London
Arthur B Ewen,country
Edward John Eyre,Jamaica
Edward John Eyre,country
William Fairbairn,country
R W Fairbank,country
Edmund Farmer,London
x Farquharson,country
Adam Storey Farrar,country
J G Faught,London
Frederick Fearon,London
Frederick Fearon,country
Alexis Fedschenko,Russia
George Edgeworth Fenwick,Canada
William Ferguson,country
John Fergusson,London
Leopold Ferny,Puerto Rico
Alexander Fiddes,Jamaica
Edwin Foxton Firby,country
Frederick Firebrace,India
James Firm,Israel
James (1) Fischer,India
Robert Fischer,India
Edward Gardiner Fishbourne,London
Anthony Lax Fisher,London
Morton Coates Fisher,London
Robert Fitzroy,London
F H Fitzwilliam,country
William S Fitzwilliam,London
George Fleming,country
George Fleming,London
Alphonse de Fleuriot de Langle,France
Walter Flight,country
John Wickham Flower,country
John Folhurst,London
George Folsom,America
David Forbes,London
Duncan W Forbes,country
W Forester,Ireland
Joseph James Forrester,London
Richard Fort,London
Richard Fort,country
G A Forteath,Scotland
Balthazar Walter Foster,country
M Foster,country
Robert Nicholas Fowler,London
Charles Henry Fox,country
William Henry Francklyne,India
Augustus Wollaston Franks,London
Alexander Adolphus Fraser,London
Alexander Colvin Fraser,country
Thomas Fraser,New Zealand
Thomas Fraser,London
Henry Stanhope Freeman,London
x Freme,London
Sydney French,London
H  Albert Freuler,country
William Freund,Germany
John Friend,London
Anton Fritsch,Austria Hungary
Danby Palmer Fry,London
Stephen D Fuller,London
Michael Cudmore Furnell,India
Albert Fytche,Burmah
Albert Fytche,London
Paolo Gaddi,Italy
Richard M Gage,London
Richard M Gage,America
Douglas Galton,London
Francis Galton,London
Antonio Garbiglietti,Italy
Felix Garden,country
John Gardiner,London
C T Gardner,London
C T Gardner,China
Charles Henry Gardner,London
E V Gardner,country
E V Gardner,London
Peter Gardner,London
William H Garrett,London
Thomas B Gascoyne,London
John Peter Gassiot,London
Charles Henry Gatty,country
J Gaus,Africa
x Gawler,Australia
David Gay,London
Alex  Nidda Genthe,London
Alex  Nidda Genthe,Germany
x Georgei,London
Paul Gervais,France
George Duncan Gibb,London
George Duncan Gibb,Scotland
Craig Gibson,country
George Stacey Gibson,country
Enrico Hillyer Giglioli,Italy
Enrico Hillyer Giglioli,Japan
Joseph Gill,Africa
William Gillespie,Scotland
Andrew Gilmour,Scotland
x Giraldes,France
James William Glass,London
Spyridon Glaucopides,London
J  S  Stuart Glennie,London
John Hawley Glover,Africa
George Grenfell Glyn,London
Edwin Goadby,country
x Gobineau,Greece
x Gobineau,Brazil
William Goddard,country
Thomas Godrich,London
Augustus Goldsmid,London
Thomas Gooch,London
William Gooch,country
Charles Rowland Goodman,country
Arthur Gordon Gordon,Africa
Arthur Gordon Gordon,country
Richard Thomas Gore,country
A L  (pere) Gosse,Switzerland
Hippolyte-Jean Gosse,Switzerland
John Gould,Australia
Charles Edward Gover,India
James Gowans,Scotland
D G Goyder,country
Pierre Gratiolet,France
John Grattan,Ireland
Ryves William Graves,country
John Grayling,country
Frederick Green,London
Frederick King Green,country
George Courthope Green,Wales
Sidney Faithhorn Green,country
Henry Greenway,country
William Greenwell,country
Edward Greey,London
William Rathbone Greg,London
Alexander Gregg,London
Alexander Gregg,America
Walter Gregor,Scotland
J R Gregory,London
Charles Edward Grey,country
George Grey,New Zealand
George Grey,country
Henry Rowland Ellison Grey,China
Henry Rowland Ellison Grey,country
x Gribble,country
x Gribble,Gibraltar
H G Gridley,London
Frederick Griffin,London
Lepel Griffin,London
Richard Trygarn Griffith,Wales
Richard Trygarn Griffith,London
Francis Griffiths,country
James Oliff Griffits,London
Charles Groves,country
Joseph Tatton Russell Groves,London
William Vernon Guise,country
John Gunn,country
Henry Francis Jeune Guppy,Trinidad
Samuel Guppy,country
Samuel Guppy,London
John Henry Gurney,London
John Henry Gurney,country
Alexander Guthrie,London
James Guthrie,London
James Guthrie,Scotland
Johann Franz ('Julius') Haast,New Zealand
Johann Georg Hahn,Greece
Ernst Hallier,Germany
Alexander C Hamilton,Bermuda
Alexander C Hamilton,country
Alexander C Hamilton,London
Archibald Hamilton,country
Rowland Hamilton,India
Rowland Hamilton,London
C D Hammond,London
William Alexander Hammond,America
Henry Fletcher Hance,China
H J B Hancock,country
James Ronaldson Handyside,Russia
Richard Davis Hanson,London
Richard Davis Hanson,Australia
Edward B Harbour,China
Clarence Harcourt,London
Charles Harding,London
William Harding,London
William Hardman,London
Charles J Harland,country
Henry Harland,country
C E Harle,London
Thomas Harlin,country
J A W Harper,London
Samuel Harraden,London
Arthur B Harris,country
James Penn Harris,country
Charles (1) Harrison,London
William G S Harrison,London
William Henry Harrison,London
Alfred Edmund Harriss,India
Ernest Abraham Hart,London
John Harvey,London
John E Harvey,Borneo
John E Harvey,London
Frederick Augustus Haserick,country
Frederick Augustus Haserick,Germany
James Hastie,country
Richard Haughton,country
Samuel Foster Haven,America
George Hawkins,London
Walter Hawkins,London
John Hay,London
W E Hay,London
Ferdinand Vandeveer Hayden,America
Thomas Hayle,country
Thomas Hayle,Jamaica
R W Haynes,London
William Stephens Hayward,country
Edward Charles Healey,country
Dunbar Isidore Heath,country
Dunbar Isidore Heath,London
G J D Heath,India
John Heaton,country
Alexander Hector,Iraq
Alexander Hector,London
W G Helsby,country
Alexander Henderson,Belize
David Mitchell Henderson,Scotland
David Mitchell Henderson,Africa
David Mitchell Henderson,Burmah
P Henderson,Africa
P Henderson,London
Robert Henderson,country
Alfred Gutteres Henriques,London
Joseph Henry,America
M H Henry,America
James Hepburn,America
Robert Hepburn,London
John Mason Hepworth,country
Henry A Hertz,London
Maximilian Herz,Austria
Maximilian Herz,Hungary
Matthew Heslop,country
T P Heslop,country
B Hewitt,India
Jonas B Hewitt,London
Alfred Hewlett,country
James Heywood,London
James Higgin,country
Alfred Higgins,London
x Hildebrand,Sweden
Dallas Hill,India
George Hill,country
L  Doake Hill,India
R  Harvey Hilliard,London
R  Harvey Hilliard,Africa
J Hillier,country
x Hincks,Canada
Benjamin Hinde,Ireland
Frederick Hindmarsh,country
Frederick Hindmarsh,London
George T Hine,Australia
Wilhelm His,Germany
Wilhelm His,Switzerland
x Hitchman,country
W Hitchman,country
W G E Hobbs,country
F H Hobler,London
