"Source","Target","first_year","last_year"
J P Baker,ASL,,
J P Baker,London,,
J P Baker,Royal College of Surgeons,,
J P Baker,medical,,
John Baker,AI,,
John Baker,APS,,
John Baker,ESL,,
John Baker,London,,
John Baker,political,,
Samuel C Baker,AI,,
Samuel C Baker,APS,,
Samuel C Baker,Africa,,
Samuel C Baker,Athenaeum Club,,
Samuel C Baker,Ceylon,,
Samuel C Baker,ESL,,
Samuel C Baker,London,,
Samuel C Baker,Royal Geographical Society,,
Samuel C Baker,Royal Society,,
Samuel C Baker,administrative,,
Samuel C Baker,country,,
Samuel C Baker,explorer,,
William Bailey Baker,AI,,
William Bailey Baker,ESL,,
William Bailey Baker,New Zealand,,
George Balfour,AI,,
George Balfour,Athenaeum Club,,
George Balfour,ESL,,
George Balfour,London,,
George Balfour,Royal Geographical Society,,
George Balfour,armed services,,
George Balfour,political,,
John Bannister,ESL,,
John Bannister,church,,
John Bannister,country,,
Henry Barber,ASL,,
Henry Barber,Royal College of Physicians,,
Henry Barber,country,,
Henry Barber,medical,,
Robert Baring,ASL,,
Robert Baring,London,,
Robert Baring,armed services,,
Henry Walter Barlow,ASL,,
Henry Walter Barlow,London,,
Henry Walter Barlow,country,,
Christopher J Barnard,ASL,,
Christopher J Barnard,Africa,,
Christopher J Barnard,armed services,,
Henry Thorowgood Barnes,APS,,
Henry Thorowgood Barnes,ASL,,
Henry Thorowgood Barnes,London,,
Henry Thorowgood Barnes,business,,
John  Wheeldon Barnes,AI,,
John  Wheeldon Barnes,ESL,,
John  Wheeldon Barnes,Society of Antiquaries,,
John  Wheeldon Barnes,banker,,
John  Wheeldon Barnes,country,,
Robert Barnewall,ESL,,
Robert Barnewall,armed services,,
Joseph Henry Barr,ASL,,
Joseph Henry Barr,Royal College of Surgeons,,
Joseph Henry Barr,country,,
Joseph Henry Barr,medical,,
William Roby Barr,AI,,
William Roby Barr,ASL,,
William Roby Barr,Geological Society,,
William Roby Barr,business,,
William Roby Barr,country,,
Thomas Squire Barrett,AI,,
Thomas Squire Barrett,ASL,,
Thomas Squire Barrett,New Athenaeum Club,,
Thomas Squire Barrett,Royal Historical Society,,
Thomas Squire Barrett,Royal Society of British Sculptors,,
Thomas Squire Barrett,Statistical Society,,
Thomas Squire Barrett,Zoological Society,,
Thomas Squire Barrett,country,,
George William Barrington,AI,,
George William Barrington,ASL,,
George William Barrington,Geological Society,,
George William Barrington,London,,
George William Barrington,Royal Geographical Society,,
George William Barrington,aristocracy,,
George William Barrington,armed services,,
George William Barrington,political,,
C M Barter,ASL,,
C M Barter,country,,
C M Barter,medical,,
William Edward Bartlett,AI,,
William Edward Bartlett,ASL,,
William Edward Bartlett,London,,
William Edward Bartlett,Society of Antiquaries,,
Alfred Barton,ASL,,
Alfred Barton,London,,
Alfred Barton,Oriental Club,,
Alfred Barton,Royal Geographical Society,,
Alfred Barton,medical,,
