"Name","quaker","first_year","last_year","birth_year","death_year"
Joseph Fletcher,NA,1844,1852,NA,"1,852"
John Wickham Flower,NA,1869,1871,"1,807","1,873"
George Folsom,NA,1866,1869,"1,802","1,869"
David Forbes,NA,1869,1871,"1,828","1,876"
Richard Fort,NA,1864,1868,"1,822","1,868"
G A Forteath,NA,1844,1844,"1,819","1,862"
Robert Nicholas Fowler,1,1851,1871,"1,828","1,891"
William Fowler,1,1851,1851,NA,NA
Charles Henry Fox,1,1861,1871,NA,NA
Augustus Wollaston Franks,NA,1863,1871,"1,826","1,897"
Thomas Fraser,NA,1865,1871,"1,808","1,891"
William Freund,NA,1853,1871,"1,806","1,894"
John Friend,NA,1851,1852,NA,NA
Albert Fytche,NA,1866,1871,"1,820","1,892"
Griffin Curtis Galt,NA,1845,1845,NA,NA
Douglas Galton,NA,1861,1871,"1,822","1,899"
Francis Galton,NA,1862,1871,"1,822","1,911"
C T Gardner,NA,1869,1871,NA,NA
E V Gardner,NA,1861,1871,NA,NA
Peter Gardner,NA,1846,1871,NA,"1,872"
Thomas B Gascoyne,NA,1862,1863,NA,NA
John Peter Gassiot,NA,1862,1871,"1,797","1,877"
x Gawler,NA,1844,1846,"1,795","1,869"
Enrico Hillyer Giglioli,NA,1862,1871,"1,845","1,909"
William Gillespie,NA,1865,1871,NA,"1,875"
James William Glass,NA,1852,1852,"1,825","1,857"
x Glasse,NA,1843,1856,NA,NA
Albert Gledstanes,NA,1845,1845,NA,NA
George Grenfell Glyn,NA,1860,1862,"1,824","1,887"
Isaac Lyon Goldsmid,NA,1844,1847,"1,778","1,859"
Thomas Gole,NA,1844,1847,NA,NA
Richard Thomas Gore,NA,1860,1869,"1,799","1,881"
John Gould,NA,1843,1860,"1,804","1,881"
D G Goyder,NA,1855,1855,"1,796","1,878"
x Granville,NA,1843,1844,"1,833","1,900"
George Bellas Greenough,NA,1844,1855,"1,778","1,855"
William Greenwell,NA,1868,1869,"1,820","1,918"
William Rathbone Greg,NA,1865,1871,"1,809","1,881"
Charles Edward Grey,NA,1860,1862,"1,785","1,865"
George Grey,NA,1860,1871,"1,812","1,898"
Henry Rowland Ellison Grey,NA,1861,1871,"1,834","1,909"
John Griffith,NA,1848,1848,NA,NA
Richard Trygarn Griffith,NA,1864,1866,"1,788","1,866"
J C Griffiths,NA,1843,1849,NA,NA
Richard Clewin Griffiths,NA,1844,1849,NA,NA
John Grover,NA,1844,1847,NA,NA
Augustus Guest,NA,1847,1847,NA,NA
William Vernon Guise,NA,1869,1871,"1,816","1,887"
John Henry Gurney,1,1860,1867,"1,819","1,890"
Alexander Guthrie,NA,1862,1862,"1,796","1,865"
James Guthrie,NA,1862,1871,NA,"1,900"
Johann Franz ('Julius') Haast,NA,1870,1871,"1,822","1,887"
William Hall,NA,1843,1850,NA,NA
Henry Hallam,NA,1846,1852,"1,777","1,859"
Alexander C Hamilton,NA,1869,1871,NA,NA
Archibald Hamilton,NA,1863,1871,"1,818","1,880"
Rowland Hamilton,NA,1853,1871,NA,NA
F W Harrer,NA,1861,1861,NA,NA
William Cornwallis Harris,NA,1844,1848,"1,807","1,848"
Charles (1) Harrison,NA,1869,1871,NA,NA
William G S Harrison,NA,1851,1853,NA,NA
John E Harvey,NA,1863,1871,NA,"1,879"
John Hastings,NA,1844,1850,NA,NA
Walter Hawkins,NA,1844,1860,NA,NA
