"Name","quaker","first_year","last_year","birth_year","death_year"
Arthur Dashwood,NA,1868,1871,NA,NA
Samuel Davenport,NA,1866,1869,"1,818","1,906"
John George Davey,NA,1863,1869,NA,NA
John Davidson,NA,1867,1871,NA,NA
I Davie,NA,1864,1864,NA,NA
F  Drummond Davies,NA,1864,1867,NA,NA
Jesse Conway Davies,NA,1867,1871,"1,822",NA
William Davies,NA,1869,1871,NA,NA
Edmund Francis Davis,NA,1866,1869,"1,845","1,889"
Frederick E Davis,NA,1866,1866,NA,NA
George Dawson,NA,1863,1871,"1,821","1,876"
Walter F Dawson,NA,1866,1867,NA,NA
Samuel Phillips Day,NA,1865,1865,NA,NA
John junr De Horne,NA,1863,1866,NA,NA
Octave Delepierre,NA,1864,1871,"1,802","1,879"
Walter Cooper Dendy,NA,1867,1871,"1,794","1,871"
George Denman,NA,1866,1866,"1,819","1,896"
x Derby (formerly Stanley),NA,1864,1871,"1,841","1,908"
Jules Desnoyers,NA,1863,1871,"1,800","1,887"
Charles William Devis,NA,1865,1868,NA,NA
George Dibley,NA,1864,1871,NA,NA
Henry Dickman,NA,1863,1869,NA,NA
x Diezmann,NA,1868,1868,NA,NA
John Dingle,NA,1863,1871,"1,812","1,885"
Henry Distin,NA,1868,1868,NA,NA
Thomas J Dobson,NA,1864,1869,NA,NA
William Donald,NA,1866,1867,NA,NA
John Donaldson,NA,1863,1865,"1,845","1,865"
x Donnell,NA,1865,1865,NA,NA
Cornelius Donovan,NA,1868,1869,"1,820","1,872"
Bernard Dorn,NA,1863,1871,"1,805","1,881"
James Dowie,NA,1863,1868,NA,NA
John Langdon H Down,NA,1865,1871,"1,828","1,896"
Alexander Downing,NA,1868,1871,"1,843","1,907"
Arthur Edward Downing,NA,1867,1869,NA,NA
Washington Downing,NA,1867,1867,NA,NA
James T J Doyle,1,1865,1868,NA,NA
D I Drakeford,NA,1866,1871,NA,NA
James F Draper,NA,1865,1871,NA,"1,876"
Robert A Drew,NA,1865,1868,NA,"1,868"
H Driver,NA,1864,1868,NA,"1,868"
John Drummond,NA,1864,1871,"1,793","1,875"
Paul Belloni Du Chaillu,NA,1863,1867,"1,831","1,903"
C A Du Val,NA,1864,1867,"1,810","1,872"
Gustaf Von Duben,NA,1867,1871,"1,822","1,892"
Frederick Duckworth,NA,1866,1869,NA,NA
Henry Duckworth,NA,1865,1866,NA,NA
R E Dudgeon,NA,1865,1867,"1,820","1,904"
Reginald R Dudley,NA,1867,1869,NA,NA
J R Duggan,NA,1863,1867,"1,903",NA
W N Duggan,NA,1866,1869,NA,NA
Emile Duhousset,NA,1864,1871,"1,823",NA
Conrad C Dumas,NA,1865,1867,"1,832","1,891"
x Dumon,NA,1866,1871,NA,NA
Alexander Duncan,NA,1868,1871,"1,819","1,887"
Francis Duncan,NA,1867,1871,"1,836","1,888"
Peter Martin Duncan,NA,1864,1869,"1,824","1,891"
Alexander Milne Dunlop,NA,1866,1867,"1,841","1,897"
R H W Dunlop,NA,1867,1869,NA,NA
Robert Dyce,NA,1867,1869,"1,798","1,869"
Robert Eadie,NA,1867,1869,NA,NA
William Eassie,NA,1864,1871,"1,832","1,888"
Alexander Ecker,NA,1867,1871,"1,816","1,887"
Conrad Eckhard,NA,1863,1871,"1,822","1,905"
Casper W Eddy,NA,1867,1868,NA,NA
Thomas Edmonston,NA,1866,1869,NA,NA
J  Passmore Edwards,NA,1869,1870,"1,823","1,911"
William Edwards-Schneegans,NA,1868,1868,NA,NA
Charles William Eeles,NA,1865,1869,NA,NA
x Eliot,NA,1867,1867,NA,NA
John Ellerton,NA,1865,1869,"1,840","1,923"
C H  Fairfax Ellis,NA,1867,1871,NA,NA
Jonathan W Elmes,NA,1865,1867,NA,NA
Joel Emanuel,NA,1865,1866,NA,NA
Jacob Epstein,NA,1866,1870,NA,NA
Victor Erlanger,NA,1868,1871,"1,840","1,894"
Adolf Ernst,NA,1865,1871,"1,832","1,899"
x Euclide,NA,1869,1871,NA,NA
Edward Bickerton Evans,NA,1864,1871,"1,819","1,893"
John Evans,NA,1863,1871,"1,823","1,908"
Richard Tonson Evanson,NA,1867,1870,"1,800","1,871"
William Ewart,NA,1864,1865,"1,798","1,869"
Arthur B Ewen,NA,1867,1869,"1,838",NA
Edward John Eyre,NA,1864,1871,"1,815","1,901"
William Fairbairn,NA,1867,1871,"1,789","1,874"
R W Fairbank,NA,1866,1868,"1,839","1,890"
Edmund Farmer,NA,1864,1866,NA,NA
x Farquharson,NA,1863,1871,NA,NA
J G Faught,NA,1865,1866,NA,NA
Frederick Fearon,NA,1864,1871,"1,826",NA
Alexis Fedschenko,NA,1865,1871,"1,844","1,873"
George Edgeworth Fenwick,NA,1863,1871,"1,825","1,894"
William Ferguson,NA,1863,1866,"1,820","1,887"
John Fergusson,NA,1867,1867,NA,NA
Leopold Ferny,NA,1866,1871,NA,NA
Alexander Fiddes,NA,1866,1870,NA,"1,870"
Edwin Foxton Firby,NA,1864,1871,NA,NA
Frederick Firebrace,NA,1864,1871,NA,"1,917"
James (1) Fischer,NA,1866,1869,"1,832","1,873"
Robert Fischer,NA,1866,1871,NA,"1,911"
Edward Gardiner Fishbourne,NA,1865,1866,NA,NA
F H Fitzwilliam,NA,1867,1868,NA,NA
George Fleming,NA,1863,1871,"1,833","1,901"
Alphonse de Fleuriot de Langle,NA,1868,1871,"1,809","1,881"
Walter Flight,NA,1863,1867,"1,841","1,885"
John Folhurst,NA,1867,1867,NA,NA
Duncan W Forbes,NA,1867,1869,NA,NA
W Forester,NA,1865,1871,NA,NA
Joseph James Forrester,NA,1863,1869,NA,NA
Balthazar Walter Foster,NA,1864,1867,"1,840","1,913"
M Foster,NA,1863,1865,"1,836","1,907"
William Henry Francklyne,NA,1869,1871,NA,NA
Alexander Adolphus Fraser,NA,1863,1867,NA,NA
Alexander Colvin Fraser,NA,1866,1869,NA,NA
Henry Stanhope Freeman,NA,1864,1865,"1,831","1,865"
x Freme,NA,1864,1867,NA,NA
Sydney French,NA,1868,1868,NA,NA
H  Albert Freuler,NA,1863,1867,NA,NA
Anton Fritsch,NA,1863,1871,"1,832","1,913"
Danby Palmer Fry,NA,1863,1864,"1,818","1,903"
Stephen D Fuller,NA,1863,1871,"1,839","1,912"
Michael Cudmore Furnell,NA,1865,1871,"1,829","1,888"
Paolo Gaddi,NA,1868,1871,"1,806",NA
Richard M Gage,NA,1865,1869,NA,NA
Antonio Garbiglietti,NA,1868,1871,"1,807","1,887"
Felix Garden,NA,1868,1869,NA,NA
John Gardiner,NA,1866,1868,"1,814","1,868"
Charles Henry Gardner,NA,1864,1871,NA,"1,872"
William H Garrett,NA,1863,1866,NA,NA
Charles Henry Gatty,NA,1863,1864,"1,836","1,903"
J Gaus,NA,1866,1869,NA,NA
David Gay,NA,1864,1867,"1,826",NA
Alex  Nidda Genthe,NA,1866,1870,NA,"1,870"
x Georgei,NA,1863,1866,NA,NA
Paul Gervais,NA,1863,1871,"1,816","1,879"
George Duncan Gibb,NA,1863,1871,"1,821","1,876"
Craig Gibson,NA,1863,1871,"1,813","1,874"
George Stacey Gibson,1,1864,1866,"1,818","1,883"
Enrico Hillyer Giglioli,NA,1863,1871,"1,845","1,909"
Joseph Gill,NA,1866,1868,NA,NA
Andrew Gilmour,NA,1865,1869,NA,"1,910"
x Giraldes,NA,1863,1871,"1,808","1,875"
Spyridon Glaucopides,NA,1863,1871,NA,NA
J  S  Stuart Glennie,NA,1864,1867,"1,841","1,910"
John Hawley Glover,NA,1865,1869,"1,829","1,885"
Edwin Goadby,NA,1865,1869,"1,837",NA
x Gobineau,NA,1864,1871,"1,816","1,882"
William Goddard,NA,1866,1867,"1,839","1,907"
Thomas Godrich,NA,1868,1869,NA,NA
Augustus Goldsmid,NA,1865,1871,"1,818","1,874"
Thomas Gooch,NA,1863,1866,NA,NA
William Gooch,NA,1864,1864,NA,NA
Charles Rowland Goodman,NA,1867,1871,NA,NA
Arthur Gordon Gordon,NA,1865,1867,NA,NA
Richard Thomas Gore,NA,1863,1869,"1,799","1,881"
A L  (pere) Gosse,NA,1863,1869,"1,791","1,873"
Hippolyte-Jean Gosse,NA,1863,1871,"1,834","1,901"
Charles Edward Gover,NA,1867,1869,"1,835","1,872"
James Gowans,NA,1866,1871,"1,821","1,890"
Pierre Gratiolet,NA,1863,1865,"1,815","1,865"
John Grattan,NA,1865,1869,NA,NA
Ryves William Graves,NA,1867,1871,NA,"1,882"
John Grayling,NA,1867,1868,NA,NA
Frederick Green,NA,1865,1868,NA,NA
Frederick King Green,NA,1869,1871,"1,842","1,915"
George Courthope Green,NA,1867,1871,NA,"1,875"
Sidney Faithhorn Green,NA,1863,1866,"1,841","1,916"
Henry Greenway,NA,1867,1867,NA,NA
William Greenwell,NA,1865,1869,"1,820","1,918"
Edward Greey,NA,1867,1868,"1,835","1,888"
Alexander Gregg,NA,1867,1870,"1,819","1,893"
Walter Gregor,NA,1863,1871,"1,825","1,897"
J R Gregory,NA,1863,1867,NA,NA
H G Gridley,NA,1865,1866,"1,820",NA
Frederick Griffin,NA,1865,1870,"1,813","1,885"
Lepel Griffin,NA,1866,1871,"1,838","1,908"
Francis Griffiths,NA,1865,1870,NA,NA
James Oliff Griffits,NA,1864,1871,"1,821",NA
Charles Groves,NA,1863,1866,"1,793","1,866"
Joseph Tatton Russell Groves,NA,1865,1866,NA,NA
John Gunn,NA,1868,1870,"1,801","1,890"
Henry Francis Jeune Guppy,NA,1863,1867,NA,NA
Samuel Guppy,NA,1866,1869,"1,790","1,875"
Johann Georg Hahn,NA,1867,1871,NA,NA
Ernst Hallier,NA,1869,1871,"1,831","1,904"
C D Hammond,NA,1863,1865,NA,NA
William Alexander Hammond,NA,1868,1871,"1,828","1,900"
Henry Fletcher Hance,NA,1866,1871,"1,827","1,886"
H J B Hancock,NA,1864,1867,NA,NA
James Ronaldson Handyside,NA,1865,1871,"1,798","1,873"
Richard Davis Hanson,NA,1870,1871,"1,805","1,876"
Edward B Harbour,NA,1865,1865,NA,"1,865"
Clarence Harcourt,NA,1864,1871,NA,"1,909"
Charles Harding,NA,1865,1869,NA,NA
William Harding,NA,1865,1871,"1,809","1,890"
William Hardman,NA,1864,1870,"1,828","1,890"
Charles J Harland,NA,1864,1867,NA,NA
Henry Harland,NA,1867,1869,NA,NA
C E Harle,NA,1867,1867,NA,NA
Thomas Harlin,NA,1864,1867,"1,832","1,913"
J A W Harper,NA,1865,1868,NA,NA
Samuel Harraden,NA,1865,1871,NA,NA
Arthur B Harris,NA,1866,1871,NA,NA
James Penn Harris,NA,1867,1871,"1,817","1,892"
William Henry Harrison,NA,1868,1871,"1,840","1,897"
Alfred Edmund Harriss,NA,1869,1871,NA,NA
Ernest Abraham Hart,NA,1865,1866,"1,835","1,898"
John Harvey,NA,1865,1869,NA,NA
Frederick Augustus Haserick,NA,1866,1871,"1,828","1,902"
James Hastie,NA,1865,1867,"1,848","1,897"
Richard Haughton,NA,1864,1867,"1,782","1,867"
Samuel Foster Haven,NA,1867,1871,"1,806","1,881"
George Hawkins,NA,1864,1871,NA,NA
W E Hay,NA,1864,1867,NA,NA
Thomas Hayle,NA,1867,1869,"1,808","1,886"
William Stephens Hayward,NA,1870,1870,"1,835","1,870"
Edward Charles Healey,NA,1864,1871,"1,845","1,906"
Dunbar Isidore Heath,NA,1864,1871,"1,816","1,888"
G J D Heath,NA,1869,1871,NA,"1,880"
John Heaton,NA,1868,1869,"1,818","1,897"
Alexander Hector,NA,1865,1871,"1,810","1,875"
W G Helsby,NA,1863,1868,"1,828","1,891"
David Mitchell Henderson,NA,1870,1871,NA,NA
P Henderson,NA,1870,1871,NA,NA
Alfred Gutteres Henriques,NA,1865,1868,"1,829","1,908"
M H Henry,NA,1867,1871,NA,NA
John Mason Hepworth,NA,1863,1871,NA,NA
Henry A Hertz,NA,1869,1869,NA,NA
Maximilian Herz,NA,1865,1871,"1,837","1,890"
Matthew Heslop,NA,1870,1871,NA,NA
T P Heslop,NA,1865,1867,NA,NA
Jonas B Hewitt,NA,1868,1869,NA,NA
Alfred Hewlett,NA,1863,1871,"1,831","1,918"
James Higgin,NA,1863,1871,NA,NA
Alfred Higgins,NA,1863,1871,NA,NA
x Hildebrand,NA,1867,1871,"1,838","1,925"
Dallas Hill,NA,1866,1871,NA,NA
George Hill,NA,1865,1867,NA,NA
L  Doake Hill,NA,1867,1867,NA,NA
R  Harvey Hilliard,NA,1870,1871,NA,NA
J Hillier,NA,1864,1866,NA,NA
x Hincks,NA,1863,1871,"1,794","1,871"
Benjamin Hinde,NA,1866,1869,NA,NA
George T Hine,NA,1864,1867,NA,NA
August Hirsch,NA,1869,1869,"1,817","1,894"
Wilhelm His,NA,1864,1871,"1,831","1,904"
W Hitchman,NA,1865,1866,"1,817","1,889"
W G E Hobbs,NA,1864,1871,NA,NA
F H Hobler,NA,1865,1866,NA,NA
von Hochstetter,NA,1863,1871,"1,829","1,884"
Thomas Hodge,NA,1863,1867,NA,NA
Brian Houghton Hodgson,NA,1863,1871,"1,801","1,894"
"x Hoeven, Van der",NA,1863,1868,"1,801","1,868"
Carl Alphonse Hoffman,NA,1870,1871,NA,NA
Jennings Holgate,NA,1866,1871,NA,NA
James Holland,NA,1864,1866,NA,NA
William Holmes,1,1865,1869,NA,NA
H  le Hon,NA,1868,1871,"1,809","1,872"
T H Hood,NA,1865,1867,NA,NA
James Hope,NA,1870,1871,NA,NA
John Baker Hopkins,NA,1866,1867,"1,830","1,888"
W J S Horton,NA,1863,1868,NA,NA
Henry Hotze,NA,1863,1869,"1,833","1,887"
x Houghton,NA,1865,1869,"1,809","1,885"
Alfred Robert Houghton,NA,1867,1871,NA,NA
Edward Price Houghton,NA,1863,1871,NA,NA
Frederick Hovenden,NA,1868,1871,"1,838","1,911"
C F Howard,NA,1863,1863,NA,NA
W T Howard,NA,1865,1871,NA,NA
H W Howarth,NA,1866,1868,NA,NA
Oswald Bloomfield Howell,NA,1868,1869,NA,NA
Charles William Hoyland,NA,1867,1871,"1,808","1,889"
F Hudson,NA,1864,1869,NA,NA
Henry Hudson,NA,1864,1871,NA,"1,889"
Robinson Hudson,NA,1866,1867,NA,"1,867"
Richard Hughes,NA,1865,1866,"1,836","1,902"
Hamilton J Hulcee,NA,1868,1870,NA,NA
Thomas Humble,NA,1865,1868,NA,"1,878"
Augustus H Hunt,NA,1864,1869,"1,849",NA
George S  Lennon Hunt,NA,1863,1870,NA,NA
James Hunt,NA,1863,1869,"1,833","1,869"
John (1) Hunt,NA,1863,1867,NA,NA
G A Hutchinson,NA,1865,1869,NA,NA
Jonathan Hutchinson,1,1863,1871,"1,828","1,913"
Thomas Henry Huxley,NA,1863,1871,"1,825","1,895"
Josef Hyrtl,NA,1863,1871,"1,810","1,894"
Walter Hyslop,NA,1865,1866,NA,NA
Joseph Ince,NA,1867,1869,"1,826","1,907"
A Ioannides,NA,1863,1869,NA,NA
George James Ivey,NA,1865,1867,NA,NA
Frederick R Izard,NA,1864,1866,NA,NA
Henry (the father) Jackson,NA,1863,1866,"1,806","1,866"
Henry (the son) Jackson,NA,1866,1871,"1,839","1,921"
Henry Willan Jackson,NA,1865,1867,"1,842","1,914"
Henry William (1) Jackson,NA,1863,1871,NA,NA
J  Hughlings Jackson,NA,1863,1864,"1,835","1,911"
J W Jackson,NA,1863,1871,NA,"1,872"
Le Grand Jacob,NA,1864,1866,"1,805","1,881"
George Alexander James,NA,1867,1868,NA,"1,868"
Horatio Gay James,NA,1865,1871,NA,NA
William Jardine,NA,1863,1866,"1,800","1,874"
John Jarratt,NA,1863,1866,NA,NA
Frederick John Jeffery,NA,1869,1871,NA,NA
William S Jeffery,NA,1864,1868,NA,NA
Charles Jellicoe,NA,1864,1867,"1,804","1,882"
Newton Edward Jennings,NA,1865,1866,"1,840","1,901"
William Jennings,NA,1864,1871,"1,847","1,927"
Leonard Jenyns LATER Blomefield,NA,1863,1871,"1,800","1,893"
William Jepson,NA,1867,1871,NA,NA
C Jervise,NA,1864,1865,NA,NA
Henry Edward Jessop,NA,1865,1869,NA,NA
Augustus Jessopp,NA,1864,1866,"1,823","1,914"
George Curling Joad,NA,1865,1871,"1,837","1,881"
Arthur Johnson,NA,1869,1871,NA,NA
Henry Johnson,NA,1864,1867,NA,NA
Henry James Johnson,NA,1864,1867,NA,NA
Henry Moreton Johnson,NA,1865,1867,NA,NA
Richard Johnson,NA,1864,1868,NA,NA
J C  Hope Johnstone,NA,1867,1869,NA,NA
C  Treasure Jones,NA,1864,1869,NA,NA
J  Pryce Jones,NA,1864,1866,NA,NA
John Jones,NA,1863,1868,NA,NA
Robert Jones,NA,1869,1869,NA,NA
W T Jones,NA,1863,1866,NA,NA
Algernon Joy,NA,1867,1869,NA,NA
Ernst Juch,NA,1869,1869,"1,838","1,909"
Francisco Delgado Jugo,NA,1867,1871,NA,NA
x Kalmus,NA,1867,1871,NA,NA
G Kasimates,NA,1867,1871,NA,NA
x Kaup,NA,1863,1871,"1,803","1,873"
J W  (2) Kaye,NA,1868,1871,"1,840",NA
William Keene,NA,1865,1867,"1,798","1,872"
William Kelly,NA,1864,1866,"1,813","1,872"
William Henry Kemm,NA,1864,1867,"1,783","1,859"
T M Kendall,NA,1863,1867,NA,NA
Claude Buchanan Ker,NA,1867,1871,"1,867","1,925"
James Kernahan,NA,1867,1869,"1,827","1,875"
W B Kesteven,NA,1866,1871,NA,"1,891"
Nicolai de Khanikof,NA,1866,1871,"1,819","1,878"
Joshua Edward Killick,NA,1864,1871,NA,NA
William Kincaid,NA,1865,1871,"1,831","1,909"
Edwin Holborow King,NA,1869,1871,NA,"1,900"
Richard King,NA,1866,1871,"1,811","1,876"
S W King,NA,1863,1863,NA,NA
William King,NA,1864,1871,"1,809","1,886"
Charles Kingsley,NA,1863,1871,"1,819","1,875"
W R H Kinlay,NA,1864,1867,NA,NA
David Kinloch,NA,1870,1871,NA,NA
Robert Reid Kirkwood,NA,1867,1869,NA,NA
Samuel Kisch,NA,1867,1869,NA,NA
de Koninck,NA,1865,1871,"1,809","1,887"
Isidor Kopernicki,NA,1868,1871,"1,825","1,891"
x Koren,NA,1866,1871,NA,NA
Alfred von Kremer,NA,1866,1871,"1,828","1,889"
William White La Barte,NA,1863,1870,"1,824","1,904"
George Lade,NA,1867,1868,NA,NA
Samuel Laing,NA,1864,1871,"1,812","1,897"
Thomas Josiah Laing,NA,1867,1871,"1,810","1,880"
Thomas Lampray,NA,1864,1867,NA,NA
John Lancaster,NA,1863,1871,"1,815","1,884"
T A  Augustus Land,NA,1864,1867,NA,NA
Edwin Lander,NA,1866,1867,NA,NA
Vavasour Joseph Lane,NA,1869,1870,"1,837","1,873"
Augustus Henry Lane Fox later Pitt Rivers,NA,1865,1871,"1,827","1,900"
Samuel Lang,NA,1864,1864,NA,NA
William Lang,NA,1865,1867,NA,NA
J R Langley,NA,1864,1865,NA,NA
Edouard Lartet,NA,1863,1871,"1,801","1,871"
William Latta,NA,1866,1871,"1,843","1,871"
John Zachariah Laurence,NA,1863,1864,"1,829","1,870"
Thomas Laurie,NA,1866,1869,NA,NA
Edward (1) Lawrence,NA,1864,1867,"1,825","1,909"
Frederick Lawrence,NA,1863,1867,"1,821","1,867"
William Lawrence,NA,1863,1867,"1,783","1,867"
J Lawson,NA,1865,1870,NA,"1,870"
William Lawson,NA,1865,1869,NA,NA
x Le Bret,NA,1866,1871,NA,NA
Edwin Lee,NA,1864,1871,NA,NA
Frederick George Lee,NA,1865,1867,"1,832","1,902"
George Byrne Lee,NA,1867,1869,NA,NA
John Lee (2),NA,1865,1866,"1,783","1,866"
Richard Lee,NA,1863,1867,NA,NA
Conrad Leemans,NA,1868,1871,"1,809",NA
Samuel Lees,NA,1863,1871,NA,NA
William Benjamin Leggatt,NA,1866,1869,NA,NA
Louis Leguay,NA,1868,1871,NA,NA
Henry Leighton,NA,1867,1871,NA,NA
x Lelorrain,NA,1867,1871,NA,NA
Samuel Allen Letts,NA,1865,1867,"1,839","1,910"
Karl Georg Friedrich Rudolf Leuckart,NA,1863,1871,"1,822","1,898"
W  Hanks Levy,NA,1864,1866,NA,NA
Charles Francis Lewis,NA,1865,1869,NA,NA
x Library of the Corporation of London,NA,1866,1866,NA,NA
Charles Linder,NA,1864,1871,NA,NA
Gustaf Lindstrom,NA,1864,1871,"1,829","1,901"
John Lister,NA,1863,1867,"1,802","1,867"
x Literary and Philosophical Society,NA,1866,1871,NA,NA
F T Littey,NA,1867,1867,NA,NA
Robert Liveing,NA,1865,1865,"1,834","1,919"
David Lloyd,NA,1866,1867,NA,NA
James L Lobley,NA,1867,1871,"1,833","1,913"
William Lockhart,NA,1863,1871,"1,811","1,896"
Joseph Norman Lockyer,NA,1863,1866,"1,836","1,920"
J R Logan,NA,1866,1869,"1,819","1,869"
"Corporation Library London, City of",NA,1866,1866,NA,NA
William Longman,NA,1863,1868,"1,813","1,877"
Henry Lonsdale,NA,1863,1871,"1,816","1,876"
Edward Lord,NA,1863,1871,"1,812","1,875"
J K Lord,NA,1866,1867,NA,NA
Basil Lovery,NA,1868,1871,NA,"1,897"
Mark Anthony Lower,NA,1866,1871,"1,814","1,876"
D Lubach,NA,1870,1870,"1,815","1,902"
Johann Constantin August Lucae,NA,1863,1871,"1,835","1,911"
Thomas Lucas,NA,1864,1868,"1,843","1,917"
William Charles Lucy,NA,1864,1870,"1,822","1,898"
William Collings Lukis,NA,1864,1871,"1,817","1,892"
Edward Lund,NA,1866,1869,"1,823","1,898"
John Alfred Lush,NA,1869,1871,"1,815","1,888"
Coryndon H Luxmoore,NA,1864,1871,NA,NA
Philip Powys Lybbe Lybbe,NA,1864,1867,"1,818","1,897"
Charles Lyell,NA,1863,1871,"1,797","1,875"
Henry Bowden Lyle,NA,1867,1869,"1,843","1,887"
William Hunter Lyle,NA,1866,1867,NA,NA
John Macartney,NA,1869,1871,NA,NA
D G F Macdonald,NA,1865,1866,"1,823","1,884"
William MacDonald,NA,1863,1868,"1,798","1,875"
John Mackenzie,NA,1865,1866,NA,NA
Kenneth Robert Henderson Mackenzie,NA,1864,1869,"1,833","1,886"
Samuel Joseph Mackie,NA,1863,1864,"1,823","1,902"
Draper Mackinder,NA,1863,1871,NA,NA
Charles E Mackintosh,NA,1864,1871,NA,NA
David Mackintosh,NA,1867,1871,NA,NA
Charles Donald Maclean,NA,1867,1869,NA,NA
Hector Maclean,NA,1863,1871,"1,818","1,893"
George Macleay,NA,1869,1869,"1,809","1,891"
Filippo Manetta,NA,1865,1871,NA,NA
Angelo Manzoni,NA,1867,1871,NA,NA
W T Marriott,NA,1865,1867,"1,834","1,903"
Robert C Marsden,NA,1865,1865,NA,"1,865"
x Marshale,NA,1863,1863,NA,NA
George William Marshall,NA,1864,1866,"1,839","1,905"
Robert Marshall,NA,1864,1866,NA,NA
Benbow Backhouse Marson,NA,1865,1867,"1,830","1,887"
Edward W Martin,NA,1869,1871,NA,NA
H  Victor Martin,NA,1866,1869,"1,811","1,901"
J  Ranald Martin,NA,1864,1865,"1,793","1,874"
John (2) Martin,NA,1864,1871,"1,812","1,874"
x Martin-Magron,NA,1863,1871,"1,810","1,872"
Nicholas Martindale,NA,1863,1871,NA,NA
Joseph Mason,NA,1865,1869,NA,NA
W Mason,NA,1868,1869,NA,NA
James Mathieson,NA,1863,1871,NA,NA
Henry Matthews,NA,1863,1871,"1,826","1,913"
Henry Garland Matthews,NA,1866,1867,"1,838","1,908"
Samuel E Maunsell,NA,1869,1871,NA,NA
Daniel Maxwell,NA,1868,1871,NA,NA
Nicholas M Maxwell,NA,1866,1867,NA,NA
Edward Hooper May,NA,1867,1871,"1,831","1,914"
John Edwin Mayall,NA,1863,1867,"1,813","1,901"
Thomas Mayne,NA,1867,1869,NA,NA
John S Mayson,NA,1863,1864,"1,825",NA
Alexander McArthur,NA,1864,1870,"1,814","1,909"
Andrew McCallum,NA,1865,1869,NA,NA
Arthur Edward McCallum,NA,1864,1870,NA,NA
James McClelland,NA,1863,1870,"1,799","1,879"
John McCormick,NA,1868,1871,NA,NA
William McCoskry,NA,1865,1871,NA,NA
James McCraith,NA,1867,1871,NA,NA
James McCrevey,NA,1866,1870,NA,"1,870"
John McDonnell,NA,1864,1871,"1,839","1,879"
George McHenry,NA,1863,1867,NA,NA
Walter McLeod,NA,1863,1871,NA,NA
Barr Meadows,NA,1867,1871,NA,NA
Thomas Taylor Meadows,NA,1866,1868,"1,815","1,868"
John Medd,NA,1867,1869,NA,NA
William H Medd,NA,1863,1869,NA,NA
Charles William Carter Madden Medlicott,NA,1867,1871,"1,839",NA
James Aitken Meigs,NA,1863,1871,"1,829","1,879"
John Magens Mello,NA,1867,1871,"1,836","1,903"
Robert Menzies,NA,1866,1871,NA,NA
Evan Powell Meredith,NA,1867,1871,"1,811","1,889"
Etienne Gustave Mery,NA,1866,1869,NA,NA
Samuel Messenger,NA,1864,1866,NA,NA
Alexander Michie,NA,1864,1871,"1,833","1,902"
J Middleton,NA,1864,1864,NA,NA
John M  (or H ) Middleton,NA,1864,1864,NA,NA
Louis Remy Mignot,NA,1866,1870,"1,831","1,870"
Franciscus Miklosich,NA,1863,1871,"1,813","1,891"
John Mill,NA,1864,1867,NA,NA
John Miller,NA,1867,1871,NA,NA
Joseph Milligan,NA,1863,1871,"1,807","1,884"
Henry F Mills,NA,1866,1871,NA,NA
J M C Mills,NA,1865,1871,NA,NA
A Milne,NA,1865,1865,NA,NA
Thomas Milne,NA,1869,1869,NA,NA
Henri Milne-Edwards,NA,1863,1871,"1,800","1,885"
W R Milner,NA,1863,1868,NA,"1,868"
x Milton,NA,1864,1871,"1,839","1,877"
B G Miraglia,NA,1868,1871,"1,814","1,885"
J B Mirrlees,NA,1864,1866,NA,NA
Arthur Mitchell,NA,1865,1871,"1,826","1,909"
William Henry Mitchell,NA,1864,1867,NA,NA
William Stephen Mitchell,NA,1864,1867,NA,NA
Rajendralala Mitra,NA,1868,1871,"1,823","1,891"
St George J Mivart,NA,1864,1869,NA,NA
C  Poorooshottum Modeliar,NA,1864,1867,NA,NA
Robert G Moger,NA,1867,1869,NA,NA
Alexander Moir,NA,1869,1869,NA,NA
J  Macrae Moir,NA,1869,1869,"1,825","1,881"
Jakob Moleschott,NA,1864,1871,"1,822","1,893"
Frederick William Monk,NA,1864,1867,NA,NA
William Monk,NA,1864,1871,NA,NA
Frederick Butler Montgomerie,NA,1864,1871,"1,833",NA
x Moon,NA,1864,1866,NA,NA
George Moore,NA,1864,1871,"1,803","1,880"
Henry Reginald Moore,NA,1865,1871,NA,NA
J  Daniel Moore,NA,1863,1866,NA,NA
James H Moore,NA,1865,1869,NA,NA
John (1) Moore,NA,1864,1871,NA,"1,882"
John (2) Moore,NA,1866,1871,NA,NA
Robert Waters Moore,NA,1866,1871,"1,819","1,884"
William Gosling Moore,NA,1868,1871,NA,NA
Modeliar P S Mootoosaumy,NA,1866,1869,NA,NA
Fortescue John Morgan,NA,1863,1871,NA,NA
John Morgan,NA,1870,1871,NA,NA
Thomas H Morgan,NA,1868,1870,NA,NA
William Henry Morgan,NA,1866,1871,NA,NA
Thomas B Moriarty,NA,1865,1871,NA,NA
James Cotter Morison,NA,1863,1871,"1,832","1,888"
Charles Adolphe Morlot,NA,1863,1867,"1,820","1,867"
David Morris,NA,1863,1871,NA,NA
H C  Grove Morris,NA,1866,1869,NA,NA
J P Morris,NA,1864,1869,NA,NA
James Holmes Morrison,NA,1869,1871,"1,842","1,917"
Richard James ('Zadkiel') Morrison,NA,1867,1871,"1,795","1,874"
Edward John Morshead,NA,1864,1867,"1,839","1,902"
John Mortimer,NA,1864,1871,NA,"1,871"
John Robert Mortimer,NA,1870,1871,"1,825","1,911"
Joseph Mosheimer,NA,1864,1867,NA,NA
Svend Mosling,NA,1866,1871,NA,NA
