"Source","Target"
John James Sturz,ESL
J P Sutherland,ESL
Edwin C Suttor,ESL
George Suttor,ESL
Richard Levinge Swift,ESL
Robert Swinhoe,ESL
J G Sylvester,ESL
J J Sylvester,ESL
Robert Tait,ESL
James Talbot de Malahide,ESL
James Tanner,ESL
x Tasmania,ESL
Richard Temple,ESL
John Tennant,ESL
James Emerson Tennent,ESL
Fred Thompson,ESL
Richard John Thompson,ESL
W Thompson (2),ESL
Christian JÃ¼rgensen Thomsen,ESL
John Thomson,ESL
L E Threlkeld,ESL
John Thrupp,ESL
Edward Thurlow,ESL
John Thurnam,ESL
Richard Hill Tiddeman,ESL
Samuel Timmins,ESL
x Tinsley,ESL
C D Tolme,ESL
James Tonnere,ESL
William Tooke,ESL
Nicolas Trubner,ESL
Thomas Harrington Tuke,ESL
x Tumangung of Jehore,ESL
Henry John Turner,ESL
John Turner,ESL
William Wadden Turner,ESL
John Twiner,ESL
William Twining,ESL
John Underwood,ESL
John Ussher,ESL
George Vaughan,ESL
Jonas Daniel Vaughan,ESL
Carl Vogt,ESL
Benjamin Vulliamy,ESL
Thomas Francis Wade,ESL
x Wagstaff,ESL
James Walker,ESL
James Sydney Walker,ESL
Thomas Walker,ESL
Alfred Russel Wallace,ESL
Phillipp Alexander Walther,ESL
Stephen Henry Ward,ESL
Samuel Hibbert Ware,ESL
Edward Warner,ESL
Thomas T P  Bruce Warren,ESL
W Warrington,ESL
George Waterhouse,ESL
Samuel Watson,ESL
John King Watts,ESL
Andrew Scott Waugh,ESL
George Webster,ESL
John Webster,ESL
Hermann Welcker,ESL
Mordaunt Wells,ESL
Reginald Sackville West,ESL
Hodder Michael Westropp,ESL
G F Whidbourne,ESL
James Whishaw,ESL
x White,ESL
James T White,ESL
M White,ESL
x Wienecke,ESL
A L Wigan,ESL
John W Wilkins,ESL
John Gardner Wilkinson,ESL
John (2) Williams,ESL
G Williamson,ESL
David Wilson,ESL
Henry Hoyte Winwood,ESL
Henry Drummond Wolff,ESL
James Wood,ESL
Samuel Wood,ESL
Robert Carr Woods,ESL
Joseph Hardman Worrall,ESL
Ferdinand Von Wrangell,ESL
Francis Beresford Wright,ESL
Thomas Wright,ESL
James Wyld,ESL
Ashton Yates,ESL
W  Holt Yates,ESL
James Yearsley,ESL
