"Name","birth_year","death_year"
Joseph Mosley,NA,NA
Standish Motte,NA,NA
C Mottley,NA,NA
Joseph Mottley,NA,NA
J Mounsey,NA,NA
Edgar Musgrove,NA,NA
W W Royston Nash,NA,NA
J Natterier,NA,NA
T Nicholls,NA,NA
Daniel O'Connell,NA,NA
John Olliver,NA,NA
x Orchard,NA,NA
x Orioli,NA,NA
Oliver Ormerod,NA,NA
J Horne Payne,NA,NA
Z C Pearson,NA,NA
Rachel Pease,NA,NA
Richard Peck,NA,NA
Brothers Peek,NA,NA
Richard Peek,NA,NA
J Pell,NA,NA
x Philip,NA,NA
x Phillips,NA,NA
W Philpott,NA,NA
Fererra Pinheiro,NA,NA
T E Plint,NA,NA
J F Polk,NA,NA
T Pollard,NA,NA
W Pollard,NA,NA
x Pollard,NA,NA
Margaret Pope,NA,NA
Eliza Post,NA,NA
x Post,NA,NA
x Poulter,NA,NA
Edward Priestman,NA,NA
Elizabeth Priestman,NA,NA
F R Priestman,NA,NA
x Priestman,NA,NA
Cornelieus Prior,NA,NA
G Pritchard,NA,NA
J E Pritchett,NA,NA
Joseph R Procter,NA,NA
J R Pumphrey,NA,NA
Herman Quinius,NA,NA
G Ralston,NA,NA
W Ramsden,NA,NA
John Rand,NA,NA
Alfred Ransome,NA,NA
Joshua Ransome,NA,NA
W Ransome,NA,NA
C Rathbone,NA,NA
George Rawson,NA,NA
James Read,NA,NA
A Reid,NA,NA
Mohammed Rheire,NA,NA
x Riach,NA,NA
Heinrich Richter,NA,NA
x Rickman,NA,NA
R Rickmer,NA,NA
E Ridley,NA,NA
x Ritchie,NA,NA
Henry Robarts,NA,NA
C B Robinson,NA,NA
W Robson,NA,NA
x Robson,NA,NA
x Roger,NA,NA
H Rolls,NA,NA
T Roscoe,NA,NA
R P Ruckman,NA,NA
M Ruppel,NA,NA
H C Rutherford,NA,NA
J E Rutter,NA,NA
Egerton Ryerson,NA,NA
John Saunders,NA,NA
S Saunders,NA,NA
x Saunders,NA,NA
x Schlosser,NA,NA
Thomas Schofield,NA,NA
x Scoon,NA,NA
Samuel S Scriven,NA,NA
Hannah Scurr,NA,NA
E T Sewell,NA,NA
x Sharples,NA,NA
John S Shewell,NA,NA
M Sismondi,NA,NA
B Slack,NA,NA
Ann Hopkins Smith,NA,NA
Charles E Smith,NA,NA
Culling Eardley Smith,NA,NA
Ebenezer Smith,NA,NA
Homerton Smith,NA,NA
J P Smith,NA,NA
P A Smith,NA,NA
Pye Smith,NA,NA
R Jun Smith,NA,NA
x Smith,NA,NA
W Somerville,NA,NA
W Sommerville,NA,NA
Sarah Southwell,NA,NA
Julius Sperling,NA,NA
N G Sperling,NA,NA
x Sperling,NA,NA
Osbourne Spurfield,NA,NA
F Squire,NA,NA
x Stafford,NA,NA
George Stancliff,NA,NA
Thomas Stark,NA,NA
Trevor Steinglass,NA,NA
x Steininger,NA,NA
E Stephens,NA,NA
J M Stephens,NA,NA
x Stephens,NA,NA
Deborah Sterry,NA,NA
M Stevens,NA,NA
x Stevens,NA,NA
Mary Stevenson,NA,NA
Andrew Stewart,NA,NA
J J Stitt,NA,NA
William Stokes,NA,NA
John Stone,NA,NA
x Stone,NA,NA
x Stow,NA,NA
Thomas Stronge,NA,NA
x Stroud,NA,NA
John James Stulz,NA,NA
Charles Sturgeon,NA,NA
x Sturges,NA,NA
John James Sturtz,NA,NA
J W Sully,NA,NA
William Summerville,NA,NA
Charles Sumner,NA,NA
J H Sunman,NA,NA
Arthur Tappan,NA,NA
Thomas Taylor,NA,NA
J B Teesdale,NA,NA
Hull Terrell,NA,NA
x Thatcher,NA,NA
James Sanderson Thomas,NA,NA
M Thomas,NA,NA
Perronet Thompson,NA,NA
x Thompson Mrs,NA,NA
H B Thorpe,NA,NA
Jonathan Thorpe,NA,NA
x Tiedeman,NA,NA
M de Tocqueville,NA,NA
Thomas Todd,NA,NA
William McCullagh Torrens,NA,NA
C S Tosswill,NA,NA
J H Tredgold,NA,NA
Henry Tuckett,NA,NA
P E Tuckett,NA,NA
J W Tuke,NA,NA
x Tyler,NA,NA
Jan Tzatzoe,NA,NA
x Upcher,NA,NA
x Vanderkamp,NA,NA
M Villerme,NA,NA
x Wainwright,NA,NA
Joseph Waite,NA,NA
Josiah Waites,NA,NA
E Walker,NA,NA
R Walker,NA,NA
x Walker,NA,NA
x Waring,NA,NA
Harriett Warner,NA,NA
Henrietta Warner,NA,NA
M Warner,NA,NA
C Washbourne,NA,NA
John Washington,NA,NA
x Weaver,NA,NA
A Wells,NA,NA
Frederick Wells,NA,NA
Mary Wheeler,NA,NA
J Whitby,NA,NA
Anthony White,NA,NA
x Whiting,NA,NA
S Wilkin,NA,NA
M Wilks,NA,NA
John Williams,NA,NA
H H Willis,NA,NA
Frederick Wills,NA,NA
H O Wills,NA,NA
x Wills,NA,NA
Joseph R Wilton,NA,NA
R W Wingfield,NA,NA
x Wiseman,NA,NA
William Wolston,NA,NA
Joseph Wontner,NA,NA
Thomas Wontner,NA,NA
Levi Wood,NA,NA
Levi Wood (2),NA,NA
S F Woolmer,NA,NA
A B Wright,NA,NA
Frances Wright,NA,NA
P Wright,NA,NA
W D D Wright,NA,NA
x Wright (2),NA,NA
x Wright,NA,NA
W Wrigley,NA,NA
James Yates,NA,NA
John Young,NA,NA
Thomas Zachary,NA,NA
