"Name","birth_year","death_year"
John Davidson,NA,NA
I Davie,NA,NA
F  Drummond Davies,NA,NA
Jesse Conway Davies,1822,NA
William Davies,NA,NA
Edmund Francis Davis,1845,1889
Frederick E Davis,NA,NA
George Henry Daw,NA,NA
William Boyd Dawkins,1837,1929
George Dawson,1821,1876
Walter F Dawson,NA,NA
G T Day,NA,NA
Samuel Phillips Day,NA,NA
John junr De Horne,NA,NA
Octave Delepierre,1802,1879
Walter Cooper Dendy,1794,1871
George Denman,1819,1896
George Dennis,1814,1898
x Derby (formerly Stanley),1841,1908
M Des Barres,1800,1885
Jules Desnoyers,1800,1887
Charles William Devis,NA,NA
x Devonshire,1808,1891
Hugh Welch Diamond,1809,1886
George Dibley,NA,NA
John jun Dickinson,NA,NA
John Jun Dickinson,1782,1869
Henry Dickman,NA,NA
Charles Sheffield Dickson,NA,NA
Peter Dickson,NA,NA
Ernest Dieffenbach,1811,1855
x Diezmann,NA,NA
Charles Wentworth Dilke,1843,1911
John Dingle,1812,1885
Henry Distin,NA,NA
Thomas J Dobson,NA,NA
Jacob Ludwig Dohne,1811,1879
William Donald,NA,NA
John Donaldson,1845,1865
x Donnell,NA,NA
Cornelius Donovan,1820,1872
Bernard Dorn,1805,1881
James Dowie,NA,NA
John Langdon H Down,1828,1896
Alexander Downing,1843,1907
Arthur Edward Downing,NA,NA
Washington Downing,NA,NA
James T J Doyle,NA,NA
D I Drakeford,NA,NA
James F Draper,NA,1876
Gustavus Dressler,NA,NA
Robert A Drew,NA,1868
H Driver,NA,1868
John Drummond,1793,1875
Paul Belloni Du Chaillu,1831,1903
C A Du Val,1810,1872
Gustaf Von Duben,1822,1892
x Dublin,1787,1863
Frederick Duckworth,NA,NA
Henry Duckworth,NA,NA
Samuel Duckworth,NA,NA
William Duckworth,1795,1876
R E Dudgeon,1820,1904
Reginald R Dudley,NA,NA
J R Duggan,1903,NA
W N Duggan,NA,NA
Emile Duhousset,1823,NA
Conrad C Dumas,1832,1891
x Dumon,NA,NA
Alexander Duncan,1819,1887
David Duncan,1839,1923
Francis Duncan,1836,1888
Peter Martin Duncan,1824,1891
R  Murray Dundas,NA,NA
Alfred John Dunkin,1812,1879
Alexander Milne Dunlop,1841,1897
R H W Dunlop,NA,NA
Robert Dunn,1799,1877
x Dunraven & Mountearl,1812,1871
Patrick Frederick Durham,NA,NA
Robert Dyce,1798,1869
William Thistleton Dyer,NA,NA
Robert Eadie,NA,NA
George Windsor Earl,1813,1865
William Eassie,1832,1888
Joseph William Eastwood,1828,1916
Alexander Ecker,1816,1887
