"Source","Target","first_year","last_year","birth_year","death_year"
Alfred Tubb Windus,ASL,1864,1869,NA,NA
Benjamin Robert Winthrop,ASL,1868,1871,"1,804","1,879"
Thomas Alexander Wise,ASL,1866,1871,"1,801","1,889"
George Witt,ASL,1863,1866,"1,804","1,869"
von Wittich,ASL,1864,1866,"1,826","1,897"
James Wodderspoon,ASL,1869,1871,NA,NA
Francis George Cornelius Wolber,ASL,1868,1871,NA,NA
George Wollaston,ASL,1864,1865,NA,NA
Edward Wood,ASL,1866,1871,"1,810","1,892"
F  Henry Wood,ASL,1863,1867,"1,812","1,886"
J W Wood,ASL,1868,1869,NA,NA
John George Wood,ASL,1868,1871,NA,NA
Robert Wood,ASL,1865,1870,NA,"1,877"
William Spicer Wood,ASL,1863,1871,NA,"1,902"
Charles H L Woodd,ASL,1863,1870,NA,"1,893"
Robert Carr Woods,ASL,1863,1871,"1,816","1,875"
Jens Jacob Asmussen Worsaae,ASL,1863,1871,"1,821","1,885"
William Wray,ASL,1870,1871,"1,830","1,871"
Frank Wrentmore,ASL,1865,1869,NA,NA
Robert Wright,ASL,1870,1870,NA,NA
Thomas Wright,ASL,1863,1871,"1,810","1,877"
William Cort Wright,ASL,1863,1865,NA,NA
Otto Wucherer,ASL,1867,1869,"1,820","1,873"
Andrew Wyley,ASL,1866,1867,NA,NA
Jeffries Wyman,ASL,1867,1871,"1,814","1,874"
Stephen Yeldham,ASL,1866,1869,"1,810","1,896"
James A Youl,ASL,1864,1865,"1,811","1,904"
Robert Younge,ASL,1865,1871,"1,801","1,874"
Arthur de Zeltner,ASL,1866,1871,NA,NA
x Zohrab,ASL,1867,1871,NA,NA
H R Adam,AI,1870,1871,NA,NA
William (2) Adams,AI,1858,1871,"1,820","1,900"
Louis Agassiz,AI,1860,1871,"1,807","1,873"
Alexander Muirhead Aitken,AI,1864,1871,NA,NA
William Amhurst Tyssen Amhurst,AI,1862,1871,"1,835","1,909"
x Antrim,AI,1871,1871,"1,851","1,918"
William Appleyard,AI,1854,1871,NA,NA
William Arbuthnot,AI,1868,1871,NA,NA
William Armitage,AI,1864,1871,"1,815","1,903"
William Armstrong,AI,1865,1871,"1,810","1,900"
Richard Arnold,AI,1866,1871,"1,808","1,876"
William Arthur,AI,1865,1870,"1,819","1,901"
Charles Frederick Ash,AI,1864,1871,NA,NA
William Henry Ashurst,AI,1863,1871,"1,819","1,879"
Charles Atkins,AI,1868,1871,NA,NA
George Atkinson,AI,1869,1871,NA,NA
Charles Cardale Babington,AI,1864,1871,"1,808","1,895"
Edward Backhouse,AI,1870,1871,"1,808","1,879"
Carl Ernst von Baer,AI,1861,1871,"1,792","1,876"
Walter ('Badgett') Bagehot,AI,1865,1871,"1,826","1,877"
James Bain,AI,1865,1871,"1,818","1,898"
John Baker,AI,1861,1871,"1,813","1,872"
Samuel C Baker,AI,1866,1871,"1,821","1,893"
William Bailey Baker,AI,1858,1871,"1,828","1,865"
George Balfour,AI,1865,1871,"1,809","1,894"
John  Wheeldon Barnes,AI,1870,1871,"1,825","1,893"
William Roby Barr,AI,1863,1871,"1,832",NA
Thomas Squire Barrett,AI,1865,1871,NA,NA
George William Barrington,AI,1865,1871,"1,824","1,886"
William Edward Bartlett,AI,1864,1871,"1,836","1,908"
John Stothert Bartrum,AI,1865,1871,"1,817","1,904"
William Battye,AI,1867,1871,NA,NA
Hermann Beigel,AI,1865,1871,"1,830","1,879"
William Abraham Bell,AI,1869,1871,"1,841","1,921"
Edward Bellamy,AI,1865,1871,"1,837","1,889"
Henry Walter Bellew,AI,1870,1871,"1,834","1,892"
Thomas Bendyshe,AI,1863,1871,"1,827","1,886"
Charles Bennett,AI,1867,1871,NA,NA
George Bertram,AI,1864,1871,NA,NA
John Bilderbeck,AI,1866,1871,NA,NA
James Bischoff,AI,1865,1871,NA,NA
Andrew Black,AI,1870,1871,"1,851","1,916"
William Blackmore,AI,1866,1871,"1,827","1,878"
Henry Jules Blanc,AI,1866,1871,NA,NA
Henry George Bohn,AI,1861,1871,"1,796","1,884"
William Bollaert,AI,1862,1870,"1,807","1,876"
Louis Lucien Bonaparte,AI,1862,1871,"1,813","1,891"
George Bonavia,AI,1870,1871,"1,818","1,901"
James Bonsor,AI,1869,1871,NA,"1,881"
James Bonwick,AI,1869,1871,"1,817","1,906"
Cunningham Borthwick,AI,1865,1871,"1,813","1,885"
Sydney Edward Bouverie Bouverie-Pusey,AI,1863,1871,"1,839","1,911"
Jacob Boys,AI,1863,1871,"1,796","1,884"
Edward William Brabrook,AI,1864,1871,"1,839","1,930"
Frederick Braby,AI,1865,1871,"1,830","1,911"
Charles Holt Bracebridge,AI,1844,1871,"1,799","1,872"
Antonio Brady,AI,1864,1871,"1,811","1,881"
P A Brady,AI,1867,1871,NA,NA
William Bragge,AI,1870,1871,"1,823","1,884"
A C Brebner,AI,1867,1871,NA,"1,873"
James Brebner,AI,1863,1871,"1,793","1,874"
Charles Brett,AI,1865,1871,NA,"1,878"
John Briggs,AI,1845,1871,"1,785","1,875"
Lindsay Brine,AI,1869,1871,"1,834","1,906"
Charles Cornish Brown,AI,1871,1871,"1,846","1,875"
James Roberts Brown,AI,1864,1871,NA,NA
John Allen Brown,AI,1865,1871,"1,831","1,903"
Thomas Henry Browne,AI,1867,1871,NA,NA
George Bryant,AI,1867,1871,NA,NA
William Bull,AI,1867,1871,"1,828","1,902"
Luke Burke,AI,1861,1864,NA,"1,885"
George Busk,AI,1863,1871,"1,807","1,886"
William John Busteed,AI,1867,1871,"1,836","1,914"
Henry Butler,AI,1864,1871,"1,838",NA
James Butler,AI,1867,1871,NA,NA
Benjamin Bond Cabbell,AI,1864,1871,"1,782","1,874"
John Calman,AI,1870,1871,NA,NA
Archibald Campbell,AI,1866,1871,"1,805","1,874"
Francis Campbell,AI,1866,1871,"1,798","1,877"
George (1) Campbell,AI,1869,1870,"1,824","1,892"
James Campbell,AI,1864,1871,NA,NA
T A Campbell,AI,1868,1871,NA,NA
Walter Campbell,AI,1870,1871,NA,NA
William Camps,AI,1845,1871,NA,"1,887"
Charles Napoleon de Cardi,AI,1868,1871,"1,844","1,906"
William D Carey,AI,1865,1871,"1,837","1,917"
John Burford Carlill,AI,1867,1871,"1,814","1,874"
Samuel Cartwright,AI,1863,1871,"1,789","1,864"
George Catlin,AI,1866,1871,"1,796","1,872"
John Cavafy,AI,1865,1871,"1,838","1,901"
John Henry Challis,AI,1865,1871,"1,806","1,880"
William Chamberlin,AI,1863,1871,NA,NA
Charles Harcourt Chambers,AI,1863,1871,"1,826","1,876"
William Chambers,AI,1864,1871,"1,809","1,882"
Frank Chance,AI,1863,1871,"1,825","1,897"
Edward Charlesworth,AI,1866,1871,"1,813","1,893"
William Charlton,AI,1865,1871,"1,814","1,880"
William Dinsdale Child,AI,1844,1871,NA,"1,879"
Samuel Chinnery,AI,1865,1871,"1,828",NA
William Nathan Chipperfield,AI,1865,1871,"1,822","1,873"
T J Cholmondeley,AI,1868,1871,"1,818","1,883"
Hyde Clarke,AI,1864,1867,"1,815","1,895"
Robert Clarke,AI,1862,1871,NA,NA
William Aloysius Clavering,AI,1861,1871,"1,800","1,872"
John (1) Cleghorn,AI,1869,1871,NA,NA
H Clerk,AI,1864,1871,NA,NA
John Colam,AI,1870,1871,"1,827","1,910"
Henry Cole,AI,1864,1871,"1,808","1,882"
Vicat Cole,AI,1865,1871,"1,833","1,893"
John Sherrard Coleman,AI,1854,1871,"1,828","1,905"
John Frederick Collingwood,AI,1863,1871,"1,830","1,923"
W W Collins,AI,1862,1871,NA,"1,880"
John (1) Collinson,AI,1866,1871,"1,842","1,922"
Moncure Daniel Conway,AI,1869,1871,"1,832","1,907"
William Fothergill Cooke,AI,1864,1871,"1,806","1,879"
Daniel Cooper,AI,1863,1871,"1,821","1,902"
Frederick Cooper,AI,1866,1871,NA,NA
William C Copperthwaite,AI,1867,1871,"1,809","1,890"
Tullie Cornthwaite,AI,1846,1871,"1,807",NA
Frederick William Cosens,AI,1864,1871,"1,819","1,889"
Samuel Courtauld,AI,1864,1871,"1,793","1,881"
Henry Augustus Cowper,AI,1866,1871,NA,NA
Tom junr Craston,AI,1868,1871,NA,NA
Oswald John Crawfurd,AI,1861,1871,"1,834","1,909"
Henry Crowley,AI,1864,1871,NA,"1,887"
Moore A Cuffe,AI,1870,1871,NA,NA
Richard Cull,AI,1845,1857,NA,"1,892"
Richard S Cunliffe,AI,1855,1871,NA,"1,879"
Alexander Cunningham,AI,1869,1871,"1,814","1,893"
Edward Barrett Hodges Curteis,AI,1867,1871,NA,"1,886"
John Richmond Cuthbert,AI,1863,1871,NA,"1,901"
George Cutler,AI,1860,1871,NA,NA
William Barrington D'Almeida,AI,1867,1871,"1,841","1,897"
x Daa,AI,1866,1871,"1,809","1,877"
G  Wythes Daniell,AI,1858,1871,NA,NA
Robert Dukinfield Darbishire,AI,1869,1871,"1,826","1,908"
George Russell Dartnell,AI,1867,1871,"1,799","1,878"
Charles Darwin,AI,1861,1871,"1,809","1,882"
Arthur Dashwood,AI,1868,1871,NA,NA
John Davidson,AI,1867,1871,NA,NA
Jesse Conway Davies,AI,1866,1871,"1,822",NA
William Davies,AI,1869,1871,NA,NA
George Henry Daw,AI,1868,1871,NA,NA
William Boyd Dawkins,AI,1869,1871,"1,837","1,929"
George Dawson,AI,1863,1871,"1,821","1,876"
x Derby (formerly Stanley),AI,1864,1871,"1,841","1,908"
x Devonshire,AI,1862,1871,"1,808","1,891"
George Dibley,AI,1864,1871,NA,NA
Charles Wentworth Dilke,AI,1870,1871,"1,843","1,911"
John Dingle,AI,1863,1871,"1,812","1,885"
Jacob Ludwig Dohne,AI,1856,1871,"1,811","1,879"
John Langdon H Down,AI,1865,1871,"1,828","1,896"
D I Drakeford,AI,1866,1871,NA,NA
John Drummond,AI,1864,1871,"1,793","1,875"
Alexander Duncan,AI,1868,1871,"1,819","1,887"
David Duncan,AI,1870,1871,"1,839","1,923"
Francis Duncan,AI,1867,1871,"1,836","1,888"
Peter Martin Duncan,AI,1869,1869,"1,824","1,891"
Alfred John Dunkin,AI,1868,1871,"1,812","1,879"
Robert Dunn,AI,1845,1871,"1,799","1,877"
William Eassie,AI,1864,1871,"1,832","1,888"
Joseph William Eastwood,AI,1862,1871,"1,828","1,916"
Casper W Eddy,AI,1868,1868,NA,NA
John Edwards,AI,1870,1871,NA,NA
Walter Elliot,AI,1869,1871,"1,803","1,887"
C H  Fairfax Ellis,AI,1867,1871,NA,NA
William Erle,AI,1863,1871,"1,793","1,880"
Edward Bickerton Evans,AI,1864,1871,"1,819","1,893"
John Evans,AI,1863,1871,"1,823","1,908"
Edward John Eyre,AI,1864,1871,"1,815","1,901"
William Fairbairn,AI,1867,1871,"1,789","1,874"
Adam Storey Farrar,AI,1870,1871,"1,826","1,905"
Frederick Fearon,AI,1864,1871,"1,826",NA
Edwin Foxton Firby,AI,1864,1871,NA,NA
Frederick Firebrace,AI,1864,1871,NA,"1,917"
James Firm,AI,1854,1871,NA,NA
Robert Fischer,AI,1866,1871,NA,"1,911"
Morton Coates Fisher,AI,1870,1871,NA,NA
George Fleming,AI,1863,1871,"1,833","1,901"
John Wickham Flower,AI,1869,1871,"1,807","1,873"
George Folsom,AI,1866,1869,"1,802","1,869"
David Forbes,AI,1868,1871,"1,828","1,876"
Robert Nicholas Fowler,AI,1851,1871,"1,828","1,891"
Charles Henry Fox,AI,1861,1871,NA,NA
William Henry Francklyne,AI,1869,1871,NA,NA
Augustus Wollaston Franks,AI,1863,1871,"1,826","1,897"
Thomas Fraser,AI,1865,1871,"1,808","1,891"
William Freund,AI,1853,1871,"1,806","1,894"
Danby Palmer Fry,AI,1863,1864,"1,818","1,903"
A  de Fullner,AI,1866,1871,NA,NA
Albert Fytche,AI,1866,1871,"1,820","1,892"
Douglas Galton,AI,1861,1871,"1,822","1,899"
Francis Galton,AI,1862,1871,"1,822","1,911"
C T Gardner,AI,1869,1871,NA,NA
Charles Henry Gardner,AI,1864,1871,NA,"1,872"
E V Gardner,AI,1861,1871,NA,NA
Peter Gardner,AI,1846,1871,NA,"1,872"
John Peter Gassiot,AI,1862,1871,"1,797","1,877"
George Duncan Gibb,AI,1863,1871,"1,821","1,876"
Enrico Hillyer Giglioli,AI,1862,1871,"1,845","1,909"
William Gillespie,AI,1865,1871,NA,"1,875"
Spyridon Glaucopides,AI,1863,1871,NA,NA
Augustus Goldsmid,AI,1865,1871,"1,818","1,874"
Richard Thomas Gore,AI,1860,1869,"1,799","1,881"
James Gowans,AI,1866,1871,"1,821","1,890"
Ryves William Graves,AI,1867,1871,NA,"1,882"
Frederick King Green,AI,1869,1871,"1,842","1,915"
George Courthope Green,AI,1867,1871,NA,"1,875"
William Greenwell,AI,1868,1869,"1,820","1,918"
William Rathbone Greg,AI,1865,1871,"1,809","1,881"
Walter Gregor,AI,1863,1871,"1,825","1,897"
George Grey,AI,1860,1871,"1,812","1,898"
Henry Rowland Ellison Grey,AI,1861,1871,"1,834","1,909"
Lepel Griffin,AI,1866,1871,"1,838","1,908"
James Oliff Griffits,AI,1866,1871,"1,821",NA
William Vernon Guise,AI,1869,1871,"1,816","1,887"
James Guthrie,AI,1862,1871,NA,"1,900"
Johann Franz ('Julius') Haast,AI,1870,1871,"1,822","1,887"
Alexander C Hamilton,AI,1869,1871,NA,NA
Archibald Hamilton,AI,1863,1871,"1,818","1,880"
Rowland Hamilton,AI,1853,1871,NA,NA
Richard Davis Hanson,AI,1870,1871,"1,805","1,876"
Clarence Harcourt,AI,1864,1871,NA,"1,909"
William Harding,AI,1865,1871,"1,809","1,890"
Samuel Harraden,AI,1865,1871,NA,NA
Arthur B Harris,AI,1866,1871,NA,NA
James Penn Harris,AI,1867,1871,"1,817","1,892"
Charles (1) Harrison,AI,1869,1871,NA,NA
William Henry Harrison,AI,1868,1871,"1,840","1,897"
Alfred Edmund Harriss,AI,1869,1871,NA,NA
John E Harvey,AI,1863,1871,NA,"1,879"
Frederick Augustus Haserick,AI,1866,1871,"1,828","1,902"
George Hawkins,AI,1864,1871,NA,NA
Ferdinand Vandeveer Hayden,AI,1869,1871,"1,829","1,887"
Edward Charles Healey,AI,1864,1871,"1,845","1,906"
Dunbar Isidore Heath,AI,1864,1871,"1,816","1,888"
G J D Heath,AI,1869,1871,NA,"1,880"
Alexander Henderson,AI,1854,1871,"1,804",NA
David Mitchell Henderson,AI,1870,1871,NA,NA
P Henderson,AI,1870,1871,NA,NA
Joseph Henry,AI,1869,1871,"1,797","1,878"
Robert Hepburn,AI,1855,1871,NA,NA
John Mason Hepworth,AI,1863,1871,NA,NA
Matthew Heslop,AI,1870,1871,NA,NA
B Hewitt,AI,1871,1871,NA,NA
Alfred Hewlett,AI,1863,1871,"1,831","1,918"
James Heywood,AI,1844,1871,"1,810","1,897"
James Higgin,AI,1863,1871,NA,NA
Alfred Higgins,AI,1863,1871,NA,NA
R  Harvey Hilliard,AI,1870,1871,NA,NA
Frederick Hindmarsh,AI,1845,1871,NA,"1,875"
W G E Hobbs,AI,1864,1871,NA,NA
Brian Houghton Hodgson,AI,1863,1871,"1,801","1,894"
Kirkman Daniel Hodgson,AI,1863,1871,"1,814","1,879"
Carl Alphonse Hoffman,AI,1870,1871,NA,NA
Joseph Hooker,AI,1868,1871,"1,817","1,911"
James Hope,AI,1870,1871,NA,NA
John Camden Hotten,AI,1867,1871,"1,832","1,873"
Frederick Hovenden,AI,1868,1871,"1,838","1,911"
W T Howard,AI,1865,1871,NA,NA
Henry Hoyle Howorth,AI,1856,1871,"1,842","1,923"
Henry Hudson,AI,1864,1871,NA,"1,889"
Thomas McKenny Hughes,AI,1869,1871,"1,832","1,917"
John (2) Hunt,AI,1866,1871,NA,"1,879"
William Wilson Hunter,AI,1870,1871,"1,840","1,900"
Jonathan Hutchinson,AI,1863,1871,"1,828","1,913"
Thomas Henry Huxley,AI,1863,1871,"1,825","1,895"
John Inglis,AI,1854,1871,"1,808","1,891"
x Isenburg,AI,1854,1871,NA,NA
Henry (the son) Jackson,AI,1863,1871,"1,839","1,921"
Henry William (1) Jackson,AI,1863,1871,NA,NA
J W Jackson,AI,1863,1871,NA,"1,872"
Horatio Gay James,AI,1865,1871,NA,NA
John Moore Jeffcott,AI,1869,1871,"1,816","1,892"
Frederick John Jeffery,AI,1869,1871,NA,NA
Edmund Jeffries,AI,1864,1871,NA,NA
William Jennings,AI,1864,1871,"1,847","1,927"
Leonard Jenyns LATER Blomefield,AI,1863,1871,"1,800","1,893"
William Jepson,AI,1867,1871,NA,NA
George Curling Joad,AI,1865,1871,"1,837","1,881"
Arthur Johnson,AI,1869,1871,NA,NA
x Johore,AI,1866,1871,"1,833","1,895"
James Jones,AI,1862,1871,NA,NA
William Arthur Jones,AI,1869,1871,"1,818","1,873"
J W  (2) Kaye,AI,1868,1871,"1,840",NA
Claude Buchanan Ker,AI,1867,1871,"1,867","1,925"
Nicolai de Khanikof,AI,1866,1871,"1,819","1,878"
Joshua Edward Killick,AI,1864,1871,NA,NA
William Kincaid,AI,1865,1871,"1,831","1,909"
Edwin Holborow King,AI,1869,1871,NA,"1,900"
Richard King,AI,1866,1871,"1,811","1,876"
Charles Kingsley,AI,1856,1871,"1,819","1,875"
David Kinloch,AI,1870,1871,NA,NA
Richard Kirwan,AI,1869,1871,"1,828","1,872"
J L Knapp,AI,1854,1871,NA,NA
William White La Barte,AI,1863,1870,"1,824","1,904"
Samuel Laing,AI,1864,1871,"1,812","1,897"
Thomas Josiah Laing,AI,1867,1871,"1,810","1,880"
John Lancaster,AI,1863,1871,"1,815","1,884"
Augustus Henry Lane Fox later Pitt Rivers,AI,1865,1871,"1,827","1,900"
Andrew Lang,AI,1861,1871,"1,844","1,912"
J Langlands,AI,1867,1871,NA,NA
Robert Gordon Latham,AI,1844,1853,"1,812","1,888"
Edward Lawford,AI,1867,1871,"1,820","1,899"
Austen Henry Layard,AI,1853,1871,"1,817","1,894"
John Edward Lee,AI,1870,1871,"1,808","1,887"
Samuel Lees,AI,1863,1871,NA,NA
Joseph Leidy,AI,1869,1871,"1,823","1,891"
Henry Leighton,AI,1867,1871,NA,NA
Arthur Charles Wriothesley Lennox,AI,1866,1871,"1,842","1,876"
Richard Lepsius,AI,1854,1871,"1,810","1,884"
Karl Georg Friedrich Rudolf Leuckart,AI,1861,1871,"1,822","1,898"
William Lockhart,AI,1861,1871,"1,811","1,896"
Abraham Logan,AI,1863,1871,"1,816","1,873"
J R Logan,AI,1866,1869,"1,819","1,869"
William Long,AI,1869,1871,"1,817","1,886"
Edward Lord,AI,1863,1871,"1,812","1,875"
Horatio Love,AI,1850,1871,NA,"1,882"
Basil Lovery,AI,1868,1871,NA,"1,897"
John Lubbock,AI,1863,1871,"1,834","1,913"
Johann Constantin August Lucae,AI,1861,1871,"1,835","1,911"
William Collings Lukis,AI,1864,1871,"1,817","1,892"
John Alfred Lush,AI,1869,1871,"1,815","1,888"
Coryndon H Luxmoore,AI,1864,1871,NA,NA
John Macartney,AI,1869,1871,NA,NA
John Gray Macfarlane,AI,1865,1871,NA,NA
G Macgowan,AI,1861,1871,NA,NA
Draper Mackinder,AI,1863,1871,NA,NA
David Mackintosh,AI,1867,1871,NA,NA
Hector Maclean,AI,1867,1871,"1,818","1,893"
George Macleay,AI,1869,1869,"1,809","1,891"
Andrew Maclure,AI,1867,1871,"1,813","1,886"
William Elphinstone Malcolm,AI,1855,1871,"1,817","1,907"
Robert James Mann,AI,1866,1871,"1,817","1,886"
Clements Robert Markham,AI,1864,1871,"1,830","1,916"
Matthew Henry Marsh,AI,1862,1871,"1,810","1,881"
Edward W Martin,AI,1869,1871,NA,NA
John (2) Martin,AI,1864,1871,"1,812","1,874"
Richard Biddulph Martin,AI,1868,1871,"1,838","1,916"
James Wood Mason,AI,1869,1871,"1,846","1,893"
James Mathieson,AI,1863,1871,NA,NA
Henry Matthews,AI,1863,1871,"1,826","1,913"
Alfred Maury,AI,1861,1871,"1,817","1,892"
Peter Benson Maxwell,AI,1867,1871,"1,817","1,893"
Edward Hooper May,AI,1867,1871,"1,831","1,914"
Joseph Mayer,AI,1854,1871,"1,803","1,886"
William Frederick Mayers,AI,1864,1871,"1,831","1,878"
John S Mayson,AI,1856,1864,"1,825",NA
James McClelland,AI,1854,1870,"1,799","1,879"
John McCormick,AI,1868,1871,NA,NA
John McDonnell,AI,1864,1871,"1,839","1,879"
John Ferguson McLennan,AI,1870,1871,"1,827","1,881"
Walter McLeod,AI,1863,1871,NA,NA
John Frederick McNair,AI,1866,1871,"1,828","1,910"
Barr Meadows,AI,1867,1871,NA,NA
Charles William Carter Madden Medlicott,AI,1867,1871,"1,839",NA
James Aitken Meigs,AI,1861,1871,"1,829","1,879"
John Magens Mello,AI,1867,1871,"1,836","1,903"
Evan Powell Meredith,AI,1867,1871,"1,811","1,889"
Alexander Michie,AI,1863,1871,"1,833","1,902"
William Augustus Miles,AI,1851,1871,NA,NA
John Miller,AI,1867,1871,NA,NA
Joseph Milligan,AI,1863,1871,"1,807","1,884"
Henry F Mills,AI,1866,1871,NA,NA
Henri Milne-Edwards,AI,1863,1871,"1,800","1,885"
x Milton,AI,1864,1871,"1,839","1,877"
Albert Mitchell,AI,1868,1871,NA,NA
Alexander (1) Mitchell,AI,1858,1871,"1,831","1,873"
Matthew Moggridge,AI,1869,1871,"1,803","1,882"
Frederick Butler Montgomerie,AI,1864,1871,"1,833",NA
John Moody,AI,1868,1871,NA,NA
George Moore,AI,1864,1871,"1,803","1,880"
Henry Reginald Moore,AI,1865,1871,NA,NA
John (1) Moore,AI,1864,1871,NA,"1,882"
John (2) Moore,AI,1866,1871,NA,NA
Robert Waters Moore,AI,1866,1871,"1,819","1,884"
Fortescue John Morgan,AI,1863,1871,NA,NA
William Henry Morgan,AI,1866,1871,NA,NA
James Cotter Morison,AI,1863,1871,"1,832","1,888"
Edward Rowley Morris,AI,1871,1871,"1,828","1,893"
Eugene Morris,AI,1869,1871,NA,NA
John Morris,AI,1869,1871,"1,823","1,905"
James Holmes Morrison,AI,1869,1871,"1,842","1,917"
Walter Morrison,AI,1870,1871,"1,836","1,921"
John Mortimer,AI,1864,1871,NA,"1,871"
John Robert Mortimer,AI,1870,1871,"1,825","1,911"
Henry Muirhead,AI,1867,1871,"1,814","1,890"
Friedrich Max Muller,AI,1865,1871,"1,823","1,900"
Francis Kerridge Munton,AI,1870,1871,NA,NA
J C Murray,AI,1867,1871,NA,NA
Charles Ottley Groom Napier,AI,1865,1871,"1,839","1,894"
William Napier,AI,1868,1871,"1,804","1,879"
Davyd William Nash,AI,1848,1871,"1,810","1,876"
Samuel Nash,AI,1870,1871,NA,NA
J  Dormer Neale,AI,1868,1871,NA,"1,884"
Robert Stirling (1) Newall,AI,1870,1871,"1,812","1,889"
P H Newnham,AI,1863,1871,NA,NA
Alfred Vincent Newton,AI,1865,1871,NA,NA
Thomas Nicholas,AI,1869,1869,NA,NA
Brinsley Nicholson,AI,1855,1871,"1,824","1,892"
Charles Nicholson,AI,1858,1865,"1,808","1,903"
Giustiniano Nicolucci,AI,1862,1871,"1,819","1,904"
Sven Nilsson,AI,1860,1871,"1,787","1,883"
Karl Friedrich Nordmann,AI,1868,1871,"1,830",NA
Henry Norsworthy,AI,1867,1871,NA,NA
Samuel William North,AI,1863,1871,NA,NA
Josiah Clark Nott,AI,1861,1871,"1,804","1,873"
John Nottingham,AI,1867,1871,"1,810","1,895"
Richard Maddock Nunn,AI,1865,1871,NA,"1,876"
P O'Callaghan,AI,1870,1871,NA,NA
Luke Smyth O'Connor,AI,1864,1871,"1,806","1,873"
Edward O'Riley,AI,1860,1871,NA,NA
Samuel Pasfield Oliver,AI,1868,1869,"1,838","1,907"
Gustav Oppert,AI,1869,1871,"1,836","1,908"
John Benn Ormathwaite,AI,1864,1871,"1,798","1,881"
W  Billing Orton,AI,1868,1871,NA,NA
Sherard Osborn,AI,1867,1871,"1,822","1,875"
John William Willoughby Osborne,AI,1864,1871,"1,833","1,881"
Charles Otto,AI,1853,1871,"1,795","1,879"
Frederick Ouvry,AI,1869,1871,"1,814","1,881"
John Fletcher Owen,AI,1868,1871,"1,839","1,924"
Richard Owen,AI,1863,1871,"1,804","1,892"
Robert Brisco Owen,AI,1863,1871,"1,799","1,883"
Samuel R J Owen,AI,1864,1871,NA,NA
William Gifford Palgrave,AI,1868,1871,"1,826","1,888"
Walter Mantell Parker,AI,1870,1871,NA,NA
J  Charlton Parr,AI,1868,1871,NA,NA
Theodore D'Orville Partridge,AI,1867,1871,NA,"1,897"
Edmund Patterson,AI,1860,1871,NA,NA
R W Payne,AI,1866,1871,NA,NA
Thomas Bevill Peacock,AI,1863,1871,"1,812","1,882"
Alfred Henry Pechell,AI,1866,1871,"1,827","1,885"
Robert Peel,AI,1866,1871,"1,838","1,894"
John Peiser,AI,1863,1871,"1,801","1,886"
William Peppe,AI,1869,1871,NA,"1,937"
Josef Anton Maximilian Perty,AI,1860,1871,"1,804","1,884"
Horace William Petherick,AI,1863,1871,"1,839","1,919"
Arthur Phayre,AI,1862,1871,"1,812","1,885"
Philip Phoebus,AI,1861,1867,"1,804","1,880"
Charles Pickering,AI,1861,1871,"1,805","1,878"
Francois Jules Pictet,AI,1860,1871,"1,809","1,872"
Bedford Pim,AI,1866,1871,"1,826","1,886"
John Platts,AI,1869,1871,"1,830","1,904"
Matthew Conway Poole,AI,1871,1871,"1,841","1,885"
Joseph Legg Postlethwaite,AI,1844,1871,NA,"1,871"
Joseph Prestwich,AI,1869,1871,"1,812","1,896"
Frederick George Hilton Price,AI,1868,1871,"1,842","1,909"
Lorenzo T C Price,AI,1868,1871,NA,NA
Thomas Prichard,AI,1865,1871,NA,"1,878"
Henry jun Prigg,AI,1863,1871,NA,NA
Alfred Pulford,AI,1866,1871,"1,823","1,896"
Arthur Giles Puller,AI,1865,1871,"1,833","1,885"
Bernard Quaritch,AI,1865,1871,"1,819","1,899"
Lambert Adolphe Jacques Quetelet,AI,1853,1871,"1,796","1,874"
James Rae,AI,1864,1871,NA,"1,891"
"A , jun Ramsay",AI,1863,1871,NA,NA
John Ramsay,AI,1867,1871,"1,814","1,892"
William Francis Ramsay,AI,1867,1871,NA,NA
Jabez Spence Ramskill,AI,1865,1871,"1,825","1,897"
Edwin Ransom,AI,1868,1871,"1,841","1,927"
Goday Naraen Gajapati Rao,AI,1866,1871,"1,828","1,903"
Charles Ratcliff,AI,1863,1871,"1,815","1,885"
Henry Rawlinson,AI,1853,1871,"1,810","1,895"
Lestock Robert Reid,AI,1861,1871,NA,"1,879"
Ernest Renan,AI,1861,1871,"1,823","1,892"
Charles Jeremiah Renshaw,AI,1863,1871,"1,841","1,916"
Edward Jackson Riccard,AI,1867,1871,NA,"1,872"
Franklin Thomas Richards,AI,1867,1871,"1,847","1,905"
Charles Richardson,AI,1864,1871,"1,814","1,896"
Francis Richardson,AI,1863,1871,"1,815","1,896"
George Thorne Ricketts,AI,1870,1871,"1,826","1,919"
"x Ripon, De Grey and",AI,1850,1871,"1,827","1,909"
John Henry Rivett-Carnac,AI,1870,1871,"1,839","1,923"
Charles Robert des Ruffieres,AI,1863,1871,NA,"1,883"
Daniel Brooke Robertson,AI,1864,1871,"1,810","1,881"
Edward Robinson,AI,1852,1863,"1,794","1,863"
William Robinson,AI,1865,1871,NA,"1,880"
Sampson Roch,AI,1865,1871,"1,829","1,906"
George Rogers,AI,1867,1871,"1,809","1,891"
George Rolleston,AI,1860,1871,"1,829","1,881"
Hyacinthe Ronay,AI,1865,1871,"1,814","1,889"
Charles Rooke,AI,1866,1869,"1,809","1,872"
James Anderson Rose,AI,1868,1871,"1,819","1,890"
x Rosehill,AI,1870,1871,"1,843","1,891"
John George Clunies Ross,AI,1860,1871,"1,823","1,871"
