"Source","Target","first_year","last_year","birth_year","death_year"
G T Day,ESL,1844,1844,NA,NA
George Dennis,ESL,1869,1869,"1,814","1,898"
M Des Barres,ESL,1851,1862,"1,800","1,885"
x Devonshire,ESL,1862,1871,"1,808","1,891"
Hugh Welch Diamond,ESL,1846,1852,"1,809","1,886"
John jun Dickinson,ESL,1865,1871,NA,NA
John Jun Dickinson,ESL,1861,1869,"1,782","1,869"
Henry Dickman,ESL,1862,1869,NA,NA
Charles Sheffield Dickson,ESL,1848,1848,NA,NA
Peter Dickson,ESL,1866,1867,NA,NA
Charles Wentworth Dilke,ESL,1870,1871,"1,843","1,911"
Jacob Ludwig Dohne,ESL,1856,1871,"1,811","1,879"
Cornelius Donovan,ESL,1863,1869,"1,820","1,872"
Gustavus Dressler,ESL,1844,1844,NA,NA
x Dublin,ESL,1844,1863,"1,787","1,863"
Samuel Duckworth,ESL,1844,1848,NA,NA
William Duckworth,ESL,1863,1868,"1,795","1,876"
David Duncan,ESL,1870,1871,"1,839","1,923"
Peter Martin Duncan,ESL,1869,1869,"1,824","1,891"
R  Murray Dundas,ESL,1843,1845,NA,NA
Alfred John Dunkin,ESL,1868,1871,"1,812","1,879"
Robert Dunn,ESL,1844,1871,"1,799","1,877"
x Dunraven & Mountearl,ESL,1870,1871,"1,812","1,871"
Patrick Frederick Durham,ESL,1843,1849,NA,NA
William Thistleton Dyer,ESL,1845,1850,NA,NA
George Windsor Earl,ESL,1862,1862,"1,813","1,865"
Joseph William Eastwood,ESL,1862,1871,"1,828","1,916"
John Edwards,ESL,1870,1871,NA,NA
Francis Egerton,ESL,1844,1857,"1,800","1,857"
George Granville Francis Egerton,ESL,1857,1862,"1,823","1,862"
x Egypt,ESL,1862,1863,"1,822","1,863"
John Elder,ESL,1855,1855,"1,824","1,869"
Walter Elliot,ESL,1869,1871,"1,803","1,887"
J H Elliott,ESL,1849,1849,NA,NA
James Ellis,ESL,1862,1862,NA,NA
John Elphinstone,ESL,1844,1854,NA,"1,854"
Mountstuart Elphinstone,ESL,1844,1859,"1,779","1,859"
John E Erichsen,ESL,1843,1847,"1,818","1,896"
William Erle,ESL,1863,1871,"1,793","1,880"
Kennedy Erskine,ESL,1861,1861,"1,828","1,870"
William Euing,ESL,1866,1871,"1,788","1,874"
John Evans,ESL,1861,1871,"1,823","1,908"
William Fairbairn,ESL,1863,1871,"1,789","1,874"
Adam Storey Farrar,ESL,1870,1871,"1,826","1,905"
Adolphe Duchart Fauvet,ESL,1843,1847,NA,NA
W S Featherstone,ESL,1846,1846,NA,NA
Edwin Foxton Firby,ESL,1864,1871,NA,NA
James Firm,ESL,1854,1871,NA,NA
Anthony Lax Fisher,ESL,1863,1867,NA,NA
Morton Coates Fisher,ESL,1870,1871,NA,NA
Robert Fitzroy,ESL,1851,1863,"1,805","1,865"
William S Fitzwilliam,ESL,1868,1871,NA,NA
James William Fleming,ESL,1861,1863,NA,NA
John B Fletcher,ESL,1847,1847,NA,NA
Joseph Fletcher,ESL,1844,1852,NA,"1,852"
John Wickham Flower,ESL,1869,1871,"1,807","1,873"
George Folsom,ESL,1866,1869,"1,802","1,869"
David Forbes,ESL,1869,1871,"1,828","1,876"
Richard Fort,ESL,1864,1868,"1,822","1,868"
G A Forteath,ESL,1844,1844,"1,819","1,862"
Robert Nicholas Fowler,ESL,1851,1871,"1,828","1,891"
William Fowler,ESL,1851,1851,NA,NA
Charles Henry Fox,ESL,1861,1871,NA,NA
Augustus Wollaston Franks,ESL,1863,1871,"1,826","1,897"
Thomas Fraser,ESL,1865,1871,"1,808","1,891"
William Freund,ESL,1853,1871,"1,806","1,894"
John Friend,ESL,1851,1852,NA,NA
Albert Fytche,ESL,1866,1871,"1,820","1,892"
Griffin Curtis Galt,ESL,1845,1845,NA,NA
Douglas Galton,ESL,1861,1871,"1,822","1,899"
Francis Galton,ESL,1862,1871,"1,822","1,911"
C T Gardner,ESL,1869,1871,NA,NA
E V Gardner,ESL,1861,1871,NA,NA
Peter Gardner,ESL,1846,1871,NA,"1,872"
Thomas B Gascoyne,ESL,1862,1863,NA,NA
John Peter Gassiot,ESL,1862,1871,"1,797","1,877"
x Gawler,ESL,1844,1846,"1,795","1,869"
Enrico Hillyer Giglioli,ESL,1862,1871,"1,845","1,909"
William Gillespie,ESL,1865,1871,NA,"1,875"
James William Glass,ESL,1852,1852,"1,825","1,857"
x Glasse,ESL,1843,1856,NA,NA
Albert Gledstanes,ESL,1845,1845,NA,NA
George Grenfell Glyn,ESL,1860,1862,"1,824","1,887"
Isaac Lyon Goldsmid,ESL,1844,1847,"1,778","1,859"
Thomas Gole,ESL,1844,1847,NA,NA
Richard Thomas Gore,ESL,1860,1869,"1,799","1,881"
John Gould,ESL,1843,1860,"1,804","1,881"
D G Goyder,ESL,1855,1855,"1,796","1,878"
x Granville,ESL,1843,1844,"1,833","1,900"
George Bellas Greenough,ESL,1844,1855,"1,778","1,855"
William Greenwell,ESL,1868,1869,"1,820","1,918"
William Rathbone Greg,ESL,1865,1871,"1,809","1,881"
Charles Edward Grey,ESL,1860,1862,"1,785","1,865"
George Grey,ESL,1860,1871,"1,812","1,898"
Henry Rowland Ellison Grey,ESL,1861,1871,"1,834","1,909"
John Griffith,ESL,1848,1848,NA,NA
Richard Trygarn Griffith,ESL,1864,1866,"1,788","1,866"
J C Griffiths,ESL,1843,1849,NA,NA
Richard Clewin Griffiths,ESL,1844,1849,NA,NA
John Grover,ESL,1844,1847,NA,NA
Augustus Guest,ESL,1847,1847,NA,NA
William Vernon Guise,ESL,1869,1871,"1,816","1,887"
John Henry Gurney,ESL,1860,1867,"1,819","1,890"
Alexander Guthrie,ESL,1862,1862,"1,796","1,865"
James Guthrie,ESL,1862,1871,NA,"1,900"
Johann Franz ('Julius') Haast,ESL,1870,1871,"1,822","1,887"
William Hall,ESL,1843,1850,NA,NA
Henry Hallam,ESL,1846,1852,"1,777","1,859"
Alexander C Hamilton,ESL,1869,1871,NA,NA
Archibald Hamilton,ESL,1863,1871,"1,818","1,880"
Rowland Hamilton,ESL,1853,1871,NA,NA
F W Harrer,ESL,1861,1861,NA,NA
William Cornwallis Harris,ESL,1844,1848,"1,807","1,848"
Charles (1) Harrison,ESL,1869,1871,NA,NA
William G S Harrison,ESL,1851,1853,NA,NA
John E Harvey,ESL,1863,1871,NA,"1,879"
John Hastings,ESL,1844,1850,NA,NA
Walter Hawkins,ESL,1844,1860,NA,NA
John Hay,ESL,1861,1862,NA,NA
Ferdinand Vandeveer Hayden,ESL,1869,1871,"1,829","1,887"
R W Haynes,ESL,1861,1861,NA,NA
Peter Christian Heldman,ESL,1862,1862,"1,808","1,866"
Alexander Henderson,ESL,1854,1871,"1,804",NA
Robert Henderson,ESL,1863,1871,"1,811","1,871"
Joseph Henry,ESL,1869,1871,"1,797","1,878"
James Hepburn,ESL,1867,1869,"1,811","1,869"
Robert Hepburn,ESL,1855,1871,NA,NA
B Hewitt,ESL,1871,1871,NA,NA
Jonas B Hewitt,ESL,1869,1869,NA,NA
James Heywood,ESL,1844,1871,"1,810","1,897"
Arthur Hill,ESL,1844,1844,NA,NA
Frederick Hindmarsh,ESL,1844,1871,NA,"1,875"
x Hitchman,ESL,1853,1853,"1,805","1,867"
Thomas (1) Hodgkin,ESL,1844,1862,"1,798","1,866"
Brian Houghton Hodgson,ESL,1854,1871,"1,801","1,894"
Kirkman Daniel Hodgson,ESL,1863,1871,"1,814","1,879"
"x Hoeven, Van der",ESL,1861,1868,"1,801","1,868"
J W Holgate,ESL,1843,1845,NA,NA
Robert Hollond,ESL,1862,1867,"1,808","1,877"
x Holmberg,ESL,1861,1861,"1,818","1,864"
H N Holme,ESL,1843,1845,NA,NA
Joseph Hooker,ESL,1868,1871,"1,817","1,911"
Frederick William Hope,ESL,1846,1851,"1,797","1,862"
W J S Horton,ESL,1864,1868,NA,NA
John Camden Hotten,ESL,1866,1871,"1,832","1,873"
Alfred How,ESL,1854,1854,NA,NA
Henry Hoyle Howorth,ESL,1866,1871,"1,842","1,923"
T A Hughes,ESL,1844,1844,NA,NA
Thomas McKenny Hughes,ESL,1869,1871,"1,832","1,917"
"Alexander Humboldt, Von",ESL,1853,1859,"1,769","1,859"
George S  Lennon Hunt,ESL,1862,1870,NA,NA
James Hunt,ESL,1856,1869,"1,833","1,869"
John (2) Hunt,ESL,1866,1871,NA,"1,879"
William Wilson Hunter,ESL,1870,1871,"1,840","1,900"
Frank J Husband,ESL,1862,1862,NA,NA
H A Husband,ESL,1867,1868,NA,NA
Thomas Henry Huxley,ESL,1863,1871,"1,825","1,895"
William Imrie,ESL,1848,1867,"1,836","1,906"
Robert Ingham,ESL,1844,1862,"1,793","1,875"
John Inglis,ESL,1854,1871,"1,808","1,891"
Robert M Inman,ESL,1869,1871,NA,NA
Arthur Constantine Ionides,ESL,1844,1850,"1,810","1,890"
J  Clayfield Ireland,ESL,1860,1862,NA,NA
x Isenburg,ESL,1854,1871,NA,NA
Henry (the father) Jackson,ESL,1851,1866,"1,806","1,866"
x Jagor,ESL,1870,1870,"1,816","1,900"
F H Janson,ESL,1863,1870,NA,NA
John Moore Jeffcott,ESL,1869,1871,"1,816","1,892"
Edmund Jeffries,ESL,1864,1871,NA,NA
x Johore,ESL,1866,1871,"1,833","1,895"
James Jones,ESL,1862,1871,NA,NA
William Jones,ESL,1848,1852,NA,NA
William Arthur Jones,ESL,1869,1871,"1,818","1,873"
William Jordan,ESL,1861,1862,NA,NA
J  Beete Jukes,ESL,1846,1848,"1,811","1,869"
J Kaines,ESL,1844,1844,NA,NA
J W  (1) Kaye,ESL,1847,1847,NA,NA
Walter K Kelly,ESL,1844,1845,NA,NA
James (1) Kennedy,ESL,1853,1858,NA,NA
Richard Hartley Kennedy,ESL,1855,1868,NA,NA
James Kernahan,ESL,1868,1869,"1,827","1,875"
David King,ESL,1844,1866,NA,"1,866"
Joseph Charles King,ESL,1843,1843,NA,NA
Richard King,ESL,1844,1871,"1,811","1,876"
S W King,ESL,1861,1863,NA,NA
Phillip Kingsford,ESL,1844,1851,NA,NA
Charles Kingsley,ESL,1856,1871,"1,819","1,875"
Andrew Valentine Kirwan,ESL,1843,1844,"1,801","1,870"
Richard Kirwan,ESL,1869,1871,"1,828","1,872"
J L Knapp,ESL,1854,1871,NA,NA
William Knight,ESL,1848,1848,NA,NA
Robert Knox,ESL,1843,1845,"1,791","1,862"
Samuel Harley Kough,ESL,1855,1855,NA,NA
Samuel Laing,ESL,1863,1871,"1,812","1,897"
Jones Lamprey,ESL,1869,1869,"1,824","1,900"
Augustus Henry Lane Fox later Pitt Rivers,ESL,1861,1871,"1,827","1,900"
Andrew Lang,ESL,1861,1871,"1,844","1,912"
J Langlands,ESL,1867,1871,NA,NA
R Langlands,ESL,1867,1867,NA,NA
Robert Gordon Latham,ESL,1844,1853,"1,812","1,888"
Joseph Law,ESL,1852,1852,NA,"1,897"
Edward Lawford,ESL,1857,1871,"1,820","1,899"
John Lawrence,ESL,1856,1856,NA,NA
Henry N Lay,ESL,1863,1867,NA,NA
Austen Henry Layard,ESL,1853,1871,"1,817","1,894"
x Layland,ESL,1869,1869,NA,NA
John Edward Lee,ESL,1870,1871,"1,808","1,887"
J G S Lefevre,ESL,1843,1848,NA,NA
x Lefroy,ESL,1870,1870,"1,817","1,890"
Joseph Leidy,ESL,1869,1871,"1,823","1,891"
Arthur Charles Wriothesley Lennox,ESL,1866,1871,"1,842","1,876"
Richard Lepsius,ESL,1854,1871,"1,810","1,884"
Karl Georg Friedrich Rudolf Leuckart,ESL,1861,1871,"1,822","1,898"
Malcolm Lewin,ESL,1850,1869,NA,"1,869"
James Lewis,ESL,1855,1855,NA,NA
x Library of the Corporation of London,ESL,1866,1866,NA,NA
Joseph Lister,ESL,1844,1847,"1,827","1,912"
W J Little,ESL,1844,1844,NA,NA
Edmund Lloyd,ESL,1861,1861,NA,NA
