"id","family_name","first_names","id:1","society"
289,Brown,John Allen,78,Royal Scottish Geographical Society
291,Brown-Sequard,x,21,Royal Society
293,Browne,Thomas Henry,11,Geological Society
297,Bryant,George,74,Entomological Society of London
302,Buckman,James,16,Linnean Society of London
302,Buckman,James,11,Geological Society
303,Bull,William,16,Linnean Society of London
303,Bull,William,11,Geological Society
308,Burden,Henry,2,Royal College of Surgeons
310,Burgholzhausen,August Friedrich Marschall von,11,Geological Society
318,Busk,George,2,Royal College of Surgeons
318,Busk,George,21,Royal Society
318,Busk,George,16,Linnean Society of London
318,Busk,George,11,Geological Society
318,Busk,George,34,Zoological Society
322,Buxton,Charles,14,"Society for the Encouragement of Arts, Manufactures and Commerce"
323,Byerley,Isaac,2,Royal College of Surgeons
323,Byerley,Isaac,16,Linnean Society of London
328,Cabbell,Benjamin Bond,21,Royal Society
328,Cabbell,Benjamin Bond,9,Society of Antiquaries
328,Cabbell,Benjamin Bond,14,"Society for the Encouragement of Arts, Manufactures and Commerce"
331,Callaway,Thomas,2,Royal College of Surgeons
331,Callaway,Thomas,6,Medical and Chirurgical Society of London
335,Calvert,George,2,Royal College of Surgeons
336,Cameron,Charles Duncan,26,Royal Asiatic Society
336,Cameron,Charles Duncan,8,Royal Geographical Society
337,Campbell,Archibald,16,Linnean Society of London
343,Campbell,James,8,Royal Geographical Society
352,Caplin,Jean-Francois,14,"Society for the Encouragement of Arts, Manufactures and Commerce"
359,Carrington,Robert,8,Royal Geographical Society
362,Cartwright,Samuel,16,Linnean Society of London
362,Cartwright,Samuel,11,Geological Society
362,Cartwright,Samuel,21,Royal Society
362,Cartwright,Samuel,6,Medical and Chirurgical Society of London
362,Cartwright,Samuel,14,"Society for the Encouragement of Arts, Manufactures and Commerce"
363,Carulla,Facundo,82,Manchester Scientific Student's Association
363,Carulla,Facundo,53,Sociedad Antropologica Espanola
372,Cavafy,John,27,Royal College of Physicians
372,Cavafy,John,6,Medical and Chirurgical Society of London
375,Chadwick,Edwin,14,"Society for the Encouragement of Arts, Manufactures and Commerce"
377,Challis,John Henry,34,Zoological Society
379,Chambers,Charles Harcourt,8,Royal Geographical Society
383,Chance,Frank,27,Royal College of Physicians
383,Chance,Frank,6,Medical and Chirurgical Society of London
383,Chance,Frank,14,"Society for the Encouragement of Arts, Manufactures and Commerce"
385,Charlesworth,Edward,11,Geological Society
393,Child,William Dinsdale,14,"Society for the Encouragement of Arts, Manufactures and Commerce"
397,Chipperfield,William Nathan,2,Royal College of Surgeons
398,Chittenden,P H,2,Royal College of Surgeons
401,Chowne,William Dingle,14,"Society for the Encouragement of Arts, Manufactures and Commerce"
403,Christy,Henry,11,Geological Society
403,Christy,Henry,9,Society of Antiquaries
403,Christy,Henry,16,Linnean Society of London
404,Christy,Thomas junior,38,Marine Biological Association of the United Kingdom
406,Clare,Henry,15,Royal Society of Literature
407,Clarendon,x,21,Royal Society
409,Clark,Henry,9,Society of Antiquaries
410,Clark,James,21,Royal Society
413,Clarke,Hyde,87,Anthropological Institute of New York
413,Clarke,Hyde,88,Royal Society of New South Wales
413,Clarke,Hyde,76,Royal Society of Northern Antiquities
413,Clarke,Hyde,89,German Oriental Society
413,Clarke,Hyde,90,American Oriental Society
413,Clarke,Hyde,91,Royal Society of Victoria
413,Clarke,Hyde,92,Academy of Anatolia
416,Claus,William Henry,2,Royal College of Surgeons
421,Cleghorn,John (2),11,Geological Society
421,Cleghorn,John (2),93,Edinburgh Gratis Sabbath School Society
425,Clerk,H,21,Royal Society
427,Clift,William,21,Royal Society
434,Cock,Frederick,2,Royal College of Surgeons
435,Cock,John jun,39,Royal Horticultural Society of London
438,Colam,John,94,Royal Society for the Prevention of Cruelty to Animals
440,Cole,Henry,14,"Society for the Encouragement of Arts, Manufactures and Commerce"
443,Cole,Vicat,95,Royal Academy
444,Colebrooke,Thomas Edward,21,Royal Society
444,Colebrooke,Thomas Edward,26,Royal Asiatic Society
449,Collier,John Payne,9,Society of Antiquaries
452,Collingwood,John Frederick,15,Royal Society of Literature
452,Collingwood,John Frederick,12,Anthropological Society of Paris
452,Collingwood,John Frederick,11,Geological Society
453,Collingwood,S  Edwin,34,Zoological Society
455,Collinson,John (1),8,Royal Geographical Society
457,Colonsay,x,96,Royal Society of Edinburgh
459,Conolly,John,21,Royal Society
462,Cooke,William Fothergill,14,"Society for the Encouragement of Arts, Manufactures and Commerce"
466,Coote,Holmes,2,Royal College of Surgeons
467,Copeland,George Ford,2,Royal College of Surgeons
467,Copeland,George Ford,6,Medical and Chirurgical Society of London
470,Copperthwaite,William C,2,Royal College of Surgeons
472,Cory,William,14,"Society for the Encouragement of Arts, Manufactures and Commerce"
472,Cory,William,11,Geological Society
474,Cossham,Handel,11,Geological Society
475,Cotton,F L,12,Anthropological Society of Paris
477,Courtauld,Samuel,14,"Society for the Encouragement of Arts, Manufactures and Commerce"
483,Cox,J W  Conrad,11,Geological Society
483,Cox,J W  Conrad,12,Anthropological Society of Paris
485,Coxe,James,96,Royal Society of Edinburgh
488,Craster,Thomas William,2,Royal College of Surgeons
492,Crawfurd,John,21,Royal Society
492,Crawfurd,John,8,Royal Geographical Society
498,Critchett,George,2,Royal College of Surgeons
500,Croker,Thomas Francis Dillon,9,Society of Antiquaries
502,Cross,A G,2,Royal College of Surgeons
504,Crowley,Jonathan Sparrow,14,"Society for the Encouragement of Arts, Manufactures and Commerce"
507,Cull,Richard,9,Society of Antiquaries
507,Cull,Richard,97,Society of Biblical Archaeology
510,Cunliffe,Richard S,29,Phrenological Association
516,Cutler,George,15,Royal Society of Literature
516,Cutler,George,11,Geological Society
516,Cutler,George,14,"Society for the Encouragement of Arts, Manufactures and Commerce"
517,D'Almeida,William Barrington,8,Royal Geographical Society
518,D'Avezac,Marie-Armand de Castera-Macaya,98,Institute of France
