"Name","id"
Robert Dunn,631
x Dunraven & Mountearl,632
Patrick Frederick Durham,634
Robert Dyce,635
William Thistleton Dyer,636
Robert Eadie,637
George Windsor Earl,638
William Eassie,639
Joseph William Eastwood,640
Alexander Ecker,641
Conrad Eckhard,642
Casper W Eddy,643
Thomas Edmonston,644
J  Passmore Edwards,645
John Edwards,646
William Edwards-Schneegans,647
Charles William Eeles,648
Francis Egerton,649
George Granville Francis Egerton,650
x Egypt,651
John Elder,652
x Eliot,653
John Ellerton,654
Walter Elliot,655
J H Elliott,656
C H  Fairfax Ellis,657
James Ellis,658
Jonathan W Elmes,659
John Elphinstone,660
Mountstuart Elphinstone,661
Joel Emanuel,662
Jacob Epstein,663
John E Erichsen,664
Victor Erlanger,665
William Erle,666
Adolf Ernst,667
Kennedy Erskine,668
x Euclide,669
William Euing,670
Edward Bickerton Evans,671
John Evans,672
Richard Tonson Evanson,674
William Ewart,676
Arthur B Ewen,677
Edward John Eyre,678
William Fairbairn,679
R W Fairbank,681
Edmund Farmer,682
x Farquharson,683
Adam Storey Farrar,684
J G Faught,687
Adolphe Duchart Fauvet,688
Frederick Fearon,689
W S Featherstone,690
Alexis Fedschenko,691
George Edgeworth Fenwick,692
William Ferguson,693
John Fergusson,694
Leopold Ferny,695
Alexander Fiddes,696
Edwin Foxton Firby,698
Frederick Firebrace,699
James Firm,700
James (1) Fischer,701
Robert Fischer,702
Edward Gardiner Fishbourne,703
Anthony Lax Fisher,704
Morton Coates Fisher,706
Robert Fitzroy,707
F H Fitzwilliam,708
William S Fitzwilliam,709
George Fleming,710
James William Fleming,711
John B Fletcher,712
Joseph Fletcher,713
Alphonse de Fleuriot de Langle,714
Walter Flight,715
John Wickham Flower,716
John Folhurst,717
George Folsom,718
David Forbes,720
Duncan W Forbes,721
W Forester,722
Joseph James Forrester,723
Richard Fort,724
G A Forteath,725
Balthazar Walter Foster,728
M Foster,729
Robert Nicholas Fowler,730
William Fowler,731
Charles Henry Fox,732
William Henry Francklyne,733
Augustus Wollaston Franks,734
Alexander Adolphus Fraser,735
Alexander Colvin Fraser,736
Thomas Fraser,738
Henry Stanhope Freeman,739
x Freme,740
Sydney French,741
H  Albert Freuler,742
William Freund,743
John Friend,744
Anton Fritsch,745
Danby Palmer Fry,746
Stephen D Fuller,747
A  de Fullner,748
Michael Cudmore Furnell,749
Albert Fytche,750
Paolo Gaddi,751
Richard M Gage,752
Griffin Curtis Galt,753
Douglas Galton,754
Francis Galton,755
Antonio Garbiglietti,756
Felix Garden,757
John Gardiner,758
C T Gardner,759
Charles Henry Gardner,760
E V Gardner,761
Peter Gardner,762
William H Garrett,764
Thomas B Gascoyne,765
John Peter Gassiot,766
Charles Henry Gatty,767
J Gaus,768
x Gawler,769
David Gay,770
Alex  Nidda Genthe,771
x Georgei,772
Paul Gervais,773
George Duncan Gibb,774
Craig Gibson,775
George Stacey Gibson,776
Enrico Hillyer Giglioli,778
Joseph Gill,779
William Gillespie,780
Andrew Gilmour,782
x Giraldes,783
James William Glass,784
x Glasse,785
Spyridon Glaucopides,786
Albert Gledstanes,787
J  S  Stuart Glennie,788
John Hawley Glover,789
George Grenfell Glyn,790
Edwin Goadby,791
x Gobineau,792
William Goddard,793
Thomas Godrich,794
Augustus Goldsmid,795
Isaac Lyon Goldsmid,796
Thomas Gole,797
Thomas Gooch,798
William Gooch,799
Charles Rowland Goodman,800
Arthur Gordon Gordon,801
Richard Thomas Gore,802
A L  (pere) Gosse,803
Hippolyte-Jean Gosse,804
John Gould,805
Charles Edward Gover,806
James Gowans,807
D G Goyder,808
x Granville,811
Pierre Gratiolet,812
John Grattan,813
Ryves William Graves,814
John Grayling,815
Frederick Green,816
Frederick King Green,817
George Courthope Green,818
Sidney Faithhorn Green,819
George Bellas Greenough,822
Henry Greenway,823
William Greenwell,824
Edward Greey,825
William Rathbone Greg,826
Alexander Gregg,827
Walter Gregor,828
J R Gregory,829
Charles Edward Grey,830
George Grey,831
Henry Rowland Ellison Grey,832
