"Source","Target"
James Cotter Morison,AI
Edward Rowley Morris,AI
Eugene Morris,AI
John Morris,AI
James Holmes Morrison,AI
Walter Morrison,AI
John Mortimer,AI
John Robert Mortimer,AI
Henry Muirhead,AI
Friedrich Max Muller,AI
Francis Kerridge Munton,AI
J C Murray,AI
Charles Ottley Groom Napier,AI
William Napier,AI
Davyd William Nash,AI
Samuel Nash,AI
J  Dormer Neale,AI
Robert Stirling (1) Newall,AI
P H Newnham,AI
Alfred Vincent Newton,AI
Thomas Nicholas,AI
Brinsley Nicholson,AI
Charles Nicholson,AI
Giustiniano Nicolucci,AI
Sven Nilsson,AI
Karl Friedrich Nordmann,AI
Henry Norsworthy,AI
Samuel William North,AI
Josiah Clark Nott,AI
John Nottingham,AI
Richard Maddock Nunn,AI
P O'Callaghan,AI
Luke Smyth O'Connor,AI
Edward O'Riley,AI
Samuel Pasfield Oliver,AI
Gustav Oppert,AI
John Benn Ormathwaite,AI
W  Billing Orton,AI
Sherard Osborn,AI
John William Willoughby Osborne,AI
Charles Otto,AI
Frederick Ouvry,AI
John Fletcher Owen,AI
Richard Owen,AI
Robert Brisco Owen,AI
Samuel R J Owen,AI
William Gifford Palgrave,AI
Walter Mantell Parker,AI
J  Charlton Parr,AI
Theodore D'Orville Partridge,AI
Edmund Patterson,AI
R W Payne,AI
Thomas Bevill Peacock,AI
Alfred Henry Pechell,AI
Robert Peel,AI
John Peiser,AI
William Peppe,AI
Josef Anton Maximilian Perty,AI
Horace William Petherick,AI
Arthur Phayre,AI
Philip Phoebus,AI
Charles Pickering,AI
Francois Jules Pictet,AI
Bedford Pim,AI
John Platts,AI
Matthew Conway Poole,AI
Joseph Legg Postlethwaite,AI
Joseph Prestwich,AI
Frederick George Hilton Price,AI
Lorenzo T C Price,AI
Thomas Prichard,AI
Henry jun Prigg,AI
Alfred Pulford,AI
Arthur Giles Puller,AI
Bernard Quaritch,AI
Lambert Adolphe Jacques Quetelet,AI
James Rae,AI
"A , jun Ramsay",AI
John Ramsay,AI
William Francis Ramsay,AI
Jabez Spence Ramskill,AI
Edwin Ransom,AI
Goday Naraen Gajapati Rao,AI
Charles Ratcliff,AI
Henry Rawlinson,AI
Lestock Robert Reid,AI
Ernest Renan,AI
